time_s,radius_cm,temperature_K,temperature_C,moisture_kg_kg
0,0,301.15,28.0,2.55
0,0.1,301.15,28.0,2.55
0,0.2,301.15,28.0,2.55
0,0.3,301.15,28.0,2.55
0,0.4,301.15,28.0,2.55
0,0.5,301.15,28.0,2.55
0,0.6,301.15,28.0,2.55
0,0.7,301.15,28.0,2.55
0,0.8,301.15,28.0,2.55
0,0.9,301.15,28.0,2.55
0,1,301.15,28.0,2.55
0,1.1,301.15,28.0,2.55
0,1.2,301.15,28.0,2.55
0,1.3,301.15,28.0,2.55
0,1.4,301.15,28.0,2.55
0,1.5,301.15,28.0,2.55
0,1.6,301.15,28.0,2.55
0,1.7,301.15,28.0,2.55
0,1.8,301.15,28.0,2.55
0,1.9,301.15,28.0,2.55
0,2,301.15,28.0,2.55
1,0,301.1500000000001,28.000000000000114,2.5499999999999985
1,0.1,301.15000000000066,28.000000000000682,2.5500000000000007
1,0.2,301.1499999999999,27.999999999999943,2.5500000000000003
1,0.3,301.14999999999986,27.999999999999886,2.55
1,0.4,301.15000000000003,28.000000000000057,2.5500000000000003
1,0.5,301.15000000000003,28.000000000000057,2.5500000000000007
1,0.6,301.1499999999999,27.999999999999943,2.55
1,0.7,301.15,28.0,2.55
1,0.8,301.14999999999964,27.99999999999966,2.5500000000000025
1,0.9,301.1499999999998,27.99999999999983,2.549999999999999
1,1,301.15,28.0,2.55
1,1.1,301.1500000000001,28.000000000000114,2.5500000000000007
1,1.2,301.1500000000001,28.000000000000114,2.55
1,1.3,301.15000000000003,28.000000000000057,2.549999999999998
1,1.4,301.14999999999986,27.999999999999886,2.5499999999999994
1,1.5,301.15000000000003,28.000000000000057,2.549999999999999
1,1.6,301.1500000000015,28.000000000001535,2.549999999999999
1,1.7,301.15000000019353,28.000000000193552,2.550000000000001
1,1.8,301.15000002464217,28.00000002464219,2.55
1,1.9,301.15000249907325,28.000002499073275,2.5499999999662517
1,2,301.1501330525443,28.0001330525443,2.520204736994499
2,0,301.15000000000026,28.000000000000284,2.549999999999998
2,0.1,301.15000000000117,28.000000000001194,2.5500000000000007
2,0.2,301.15,28.0,2.5500000000000003
2,0.3,301.14999999999986,27.999999999999886,2.55
2,0.4,301.15000000000003,28.000000000000057,2.5500000000000016
2,0.5,301.1500000000002,28.000000000000227,2.5500000000000007
2,0.6,301.1499999999999,27.999999999999943,2.55
2,0.7,301.15000000000003,28.000000000000057,2.5499999999999985
2,0.8,301.1499999999997,27.999999999999716,2.5500000000000047
2,0.9,301.1499999999998,27.99999999999983,2.549999999999999
2,1,301.15,28.0,2.55
2,1.1,301.15000000000003,28.000000000000057,2.5500000000000007
2,1.2,301.1500000000001,28.000000000000114,2.55
2,1.3,301.15000000000003,28.000000000000057,2.549999999999998
2,1.4,301.14999999999975,27.999999999999773,2.55
2,1.5,301.1500000000011,28.000000000001137,2.549999999999997
2,1.6,301.1500000001035,28.000000000103512,2.549999999999999
2,1.7,301.150000008464,28.000000008464042,2.5500000000000025
2,1.8,301.1500005388353,28.00000053883531,2.5499999999999994
2,1.9,301.1500207083631,28.000020708363138,2.5499999980350827
2,2,301.1503677254256,28.000367725425633,2.50773275477889
3,0,301.1500000000006,28.000000000000625,2.549999999999998
3,0.1,301.15000000000146,28.000000000001478,2.5500000000000007
3,0.2,301.15,28.0,2.5500000000000003
3,0.3,301.14999999999986,27.999999999999886,2.55
3,0.4,301.1500000000001,28.000000000000114,2.5500000000000016
3,0.5,301.15000000000026,28.000000000000284,2.5500000000000003
3,0.6,301.1500000000001,28.000000000000114,2.5499999999999976
3,0.7,301.15,28.0,2.5499999999999985
3,0.8,301.14999999999964,27.99999999999966,2.5500000000000047
3,0.9,301.1499999999998,27.99999999999983,2.549999999999999
3,1,301.15,28.0,2.55
3,1.1,301.15000000000003,28.000000000000057,2.5500000000000007
3,1.2,301.1500000000001,28.000000000000114,2.55
3,1.3,301.1500000000001,28.000000000000114,2.5499999999999985
3,1.4,301.15000000000026,28.000000000000284,2.55
3,1.5,301.15000000003675,28.000000000036778,2.549999999999997
3,1.6,301.1500000023035,28.000000002303523,2.5499999999999985
3,1.7,301.1500001085936,28.00000010859361,2.550000000000004
3,1.8,301.1500035466987,28.000003546698736,2.5499999999999985
3,1.9,301.150067158396,28.000067158396007,2.5499999633176587
3,2,301.1506720044092,28.00067200440924,2.4982626922232614
4,0,301.15000000000066,28.000000000000682,2.5499999999999976
4,0.1,301.1500000000017,28.000000000001705,2.5500000000000007
4,0.2,301.1500000000003,28.00000000000034,2.55
4,0.3,301.14999999999986,27.999999999999886,2.55
4,0.4,301.15000000000003,28.000000000000057,2.5500000000000016
4,0.5,301.1500000000001,28.000000000000114,2.5499999999999976
