time_s,radius_cm,cmax_kg_kg,center_kg_kg,surface_kg_kg,volume_mean_kg_kg,picard_iterations,nonlinear_residual,linear_residual,radius_rate_cm_s,mass_step_residual,robin_residual
60.0,1.9949873268608416,2.550000000000004,2.5499999999999967,2.1180860304087785,2.540851355184035,5,4.027650052679261e-11,3.956301952712238e-11,-8.320846889608055e-05,-0.00017663398736041341,-5.418671796257654e-08
120.0,1.9900168025889966,2.5500000000000043,2.5499999999999963,1.989056033787743,2.5335466384314533,5,2.566122548102074e-11,5.121592039358802e-11,-8.24959769866954e-05,-0.00016488842742703818,-3.714409876348788e-08
180.0,1.9850896699029124,2.5500000000000047,2.549999999999995,1.9054371339211915,2.527170711010636,4,8.011518115306048e-10,4.160938260611147e-11,-8.17627731032002e-05,-0.0001569507500695929,-2.989049139162954e-08
240.0,1.9802071715210356,2.5500000000000034,2.5499999999999914,1.8434668581831402,2.521422004971882,4,6.392527102579876e-10,4.206412995699793e-11,-8.100885724559506e-05,-0.00015082214545118322,-2.568262995705682e-08
300.0,1.9753705501618126,2.550000000000006,2.5499999999999963,1.7947923268160244,2.51613689056239,4,5.06785272349458e-10,3.751665644813329e-11,-8.02342294138799e-05,-0.0001457956243280568,-2.2655619883527e-08
360.0,1.9705810485436897,2.550000000000004,2.549999999999995,1.754958095636372,2.511208136215059,4,4.272825732933209e-10,4.0756731323199347e-11,-7.943888960805464e-05,-0.00014149222146001602,-2.0555328606351725e-08
420.0,1.9658399093851133,2.550000000000004,2.5499999999999976,1.721328076631634,2.506563834197557,4,3.6161057780592576e-10,4.160938260611147e-11,-7.862283782811925e-05,-0.0001376884943566427,-1.8873018482610044e-08
480.0,1.961148375404531,2.5500000000000047,2.549999999999994,1.6922229026042677,2.5021511963515897,4,3.190166483076373e-10,4.61000126961153e-11,-7.778607407407407e-05,-0.00013424163264842302,-1.758988502470212e-08
540.0,1.956507689320388,2.550000000000004,2.5499999999999967,1.6668009828355321,2.497930496358501,4,2.717052612578787e-10,4.581579560181126e-11,-7.692859834591868e-05,-0.00013107908830689813,-1.63833120185102e-08
600.0,1.9519190938511328,2.550000000000005,2.5499999999999985,1.644357186238278,2.493867810353208,4,2.39017913558697e-10,4.7919002099661157e-11,-7.605041064365349e-05,-0.00012813968533560087,-1.541009216293999e-08
660.0,1.9473838317152101,2.5500000000000047,2.5499999999999967,1.6243913739971942,2.4899356655962515,4,2.0444103421108122e-10,4.217781679471955e-11,-7.515151096727786e-05,-0.0001253802674548087,-1.4481393206854318e-08
720.0,1.9429031456310681,2.5500000000000047,2.549999999999996,1.6063311740465014,2.48611073293943,4,1.8549493793364772e-10,4.8544279707130045e-11,-7.423189931679244e-05,-0.00012275252886158664,-1.3764430889549251e-08
780.0,1.9384782783171524,2.5500000000000065,2.5499999999999963,1.5898470061088226,2.4823756698392305,4,1.6227244652598459e-10,4.587263902067207e-11,-7.3291575692197e-05,-0.00012022871087145328,-1.304862372924879e-08
840.0,1.9341104724919094,2.5500000000000074,2.55,1.5746435334131679,2.478715215922102,4,1.4879273039615093e-10,4.916955731459893e-11,-7.233054009349156e-05,-0.00011778378986491143,-1.2467700012586724e-08
900.0,1.9298009708737864,2.550000000000006,2.549999999999996,1.5604595108678136,2.475117121398468,4,1.3460773503968058e-10,4.3939962779404595e-11,-7.13487925206759e-05,-0.00011539646209422349,-1.1914165882092355e-08
960.0,1.9255510161812297,2.5500000000000074,2.549999999999996,1.5473270621069695,2.4715690624230007,4,1.1717908540183e-10,4.61000126961153e-11,-7.034633297375045e-05,-0.00011306752165847472,-1.1341863988794846e-08
1020.0,1.9213618511326862,2.5500000000000083,2.549999999999996,1.5349681740365075,2.4680600657261955,4,1.1093998852846274e-10,4.7407411329913884e-11,-6.932316145271476e-05,-0.00011077467651358767,-1.0909851687576479e-08
1080.0,1.917234718446602,2.550000000000009,2.549999999999997,1.523510871613639,2.464582153843131,4,1.0761325552066576e-10,5.132960723130964e-11,-6.82792779575693e-05,-0.00010852625188061414,-1.0334062586283415e-08
1140.0,1.913170860841424,2.5500000000000096,2.5499999999999967,1.5127343107866795,2.461124654546251,4,9.764603594817774e-11,5.60476109967567e-11,-6.721468248831361e-05,-0.00010630442400038449,-9.948469224216462e-09
1200.0,1.9091715210355988,2.5500000000000083,2.5499999999999985,1.5024793352977979,2.457681013087752,4,9.634075249595239e-11,4.5133674575481564e-11,-6.612937504494791e-05,-0.00010409723676018111,-9.514014135036414e-09
1260.0,1.9052379417475727,2.550000000000009,2.5500000000000003,1.4925610751077127,2.4542447187848335,4,8.937848276466484e-11,5.042011252953671e-11,-6.502335562747197e-05,-0.00010189098856840546,-9.191860575073077e-09
1320.0,1.901371365695793,2.5500000000000087,2.549999999999997,1.483161010333972,2.4508099984000458,4,9.21953974485661e-11,4.4849457481177524e-11,-6.389662423588626e-05,-9.969788727932894e-05,-8.739192092646867e-09
1380.0,1.8975730355987055,2.5500000000000087,2.5499999999999985,1.4742302254754365,2.4473705322877772,4,8.570456839121181e-11,4.746425474877469e-11,-6.274918087019076e-05,-9.751335559248458e-05,-8.402441511550576e-09
1440.0,1.8938441941747572,2.550000000000008,2.5499999999999954,1.4654806196637347,2.443921211565011,4,8.194773984882814e-11,5.047695594839752e-11,-6.158102553038482e-05,-9.531786635214598e-05,-8.100567142271696e-09
1500.0,1.890186084142395,2.5500000000000105,2.549999999999997,1.4568002072574064,2.440458344852735,4,7.737082799777416e-11,5.377387424232438e-11,-6.039215821646883e-05,-9.310424125169917e-05,-7.847460341036169e-09
1560.0,1.8865999482200648,2.550000000000012,2.5499999999999976,1.4483608702888335,2.4369793558754527,4,7.853698668808321e-11,4.240519047016278e-11,-5.918257892844301e-05,-9.088388785125767e-05,-7.497016980127985e-09
1620.0,1.8830870291262134,2.55000000000001,2.55,1.4400914411082961,2.4334795559002322,4,7.356626178189258e-11,5.1670667744474486e-11,-5.7952287666306916e-05,-8.865193966350356e-05,-7.2568147431671835e-09
1680.0,1.879648569579288,2.550000000000012,2.5499999999999994,1.4319767432995152,2.429956028991295,4,7.329730817904687e-11,4.666844688472338e-11,-5.6701284430061106e-05,-8.640771124171221e-05,-6.952135133455978e-09
1740.0,1.8762858122977346,2.5500000000000127,2.550000000000004,1.4242308310921332,2.4264042628266336,4,7.221126494452241e-11,4.5702108764089644e-11,-5.542956921970516e-05,-8.41638951936042e-05,-6.616136196754691e-09
1800.0,1.873,2.550000000000009,2.5499999999999994,1.416714824360196,2.4228193711998993,4,6.823282354227729e-11,4.524736141320318e-11,-5.4137142035239114e-05,-8.191154826033968e-05,-6.3600046126936856e-09
1860.0,1.86979928835586,2.55000000000001,2.5499999999999994,1.4092801268579558,2.419190602389184,4,6.655003680960699e-11,5.1727511163335294e-11,-5.2614466850335965e-05,-7.93259393990846e-05,-6.0875184483557875e-09
1920.0,1.8666874513357448,2.5500000000000056,2.549999999999998,1.401710526662519,2.4155133775426236,4,6.280787918197759e-11,4.263256414560601e-11,-5.117615786287907e-05,-7.687121962973931e-05,-5.920130298186499e-09
1980.0,1.8636591591090803,2.550000000000007,2.549999999999997,1.394095443064691,2.411794104990566,4,6.262837848894335e-11,4.5986325858393684e-11,-4.98266793849723e-05,-7.455887924438619e-05,-5.670958149727372e-09
2040.0,1.8607090818452952,2.550000000000005,2.550000000000002,1.3866279206889818,2.4080362858959647,4,6.072988220384425e-11,4.217781679471955e-11,-4.8566031416615534e-05,-7.239814894686623e-05,-5.43798800135137e-09
2100.0,1.8578318897138144,2.5500000000000047,2.5500000000000047,1.3792143445855491,2.404243971467472,4,5.82859415855409e-11,6.332356861094013e-11,-4.739421395780887e-05,-7.038265628626228e-05,-5.257976356527601e-09
2160.0,1.8550222528840665,2.550000000000005,2.550000000000004,1.371880085887833,2.400422531749915,4,5.685275752864786e-11,5.468336894409731e-11,-4.63112270085524e-05,-6.851251890782736e-05,-5.05465659496887e-09
2220.0,1.8522748415254775,2.550000000000006,2.5500000000000056,1.3648186269511715,2.39657626000015,4,5.5107406382659367e-11,5.1159076974727213e-11,-4.531707056884626e-05,-6.679589831627778e-05,-4.817734482381768e-09
2280.0,1.8495843258074756,2.5500000000000074,2.550000000000007,1.3578953998962602,2.3927083750765012,4,5.2363066760323e-11,4.575895218295045e-11,-4.441174463868968e-05,-6.522434767886054e-05,-4.677257364263887e-09
2340.0,1.8469453758994858,2.550000000000008,2.5500000000000065,1.3511684135526552,2.38882246891327,4,5.1054855148444306e-11,5.4512838687514886e-11,-4.359524921808373e-05,-6.379931010401144e-05,-4.465824979084568e-09
2400.0,1.8443526619709374,2.550000000000009,2.550000000000005,1.344631329224321,2.384922340779303,4,4.8410573902638663e-11,4.297362465877086e-11,-4.2867584307027345e-05,-6.251882047764607e-05,-4.3368064632762056e-09
2460.0,1.8418008541912556,2.5500000000000065,2.5500000000000056,1.3383254170001138,2.3810132992009465,4,4.6878179428876836e-11,5.1443294069031253e-11,-4.222874990552139e-05,-6.138343821622224e-05,-4.143657584607701e-09
2520.0,1.839284622729869,2.5500000000000016,2.5500000000000016,1.3322216113741898,2.377098876093744,4,4.451420424248087e-11,4.945377440890297e-11,-4.1678746013565426e-05,-6.0390283549442995e-05,-4.030946710070798e-09
2580.0,1.8367986377562027,2.5499999999999976,2.5499999999999976,1.3261525603008986,2.373184514240295,4,4.305394969660039e-11,5.582023732131347e-11,-4.1217572631159675e-05,-5.953055483497562e-05,-3.943551132129925e-09
2640.0,1.834337569439685,2.549999999999988,2.549999999999988,1.3203547697269917,2.369275133410336,4,4.180514624907731e-11,4.843059286940843e-11,-4.084522975830369e-05,-5.881383237614095e-05,-3.763714013581275e-09
2700.0,1.831896087949743,2.5499999999999634,2.5499999999999634,1.3148322239025343,2.3653733626123783,4,3.955245690627496e-11,4.4849457481177524e-11,-4.056171739499835e-05,-5.823892241504973e-05,-3.669764165265098e-09
2760.0,1.8294688634558032,2.5499999999999097,2.5499999999999097,1.3093786295815422,2.36148464440165,4,3.813518078533098e-11,5.0590642786119133e-11,-4.036703554124258e-05,-5.779562606517298e-05,-3.6094957943232368e-09
2820.0,1.8270505661272922,2.549999999999784,2.549999999999784,1.3040414221738559,2.3576151107525445,4,3.7176476071044245e-11,8.230927051045e-11,-4.026118419703722e-05,-5.748515917311715e-05,-3.5189435625891704e-09
2880.0,1.824635866133638,2.5499999999995135,2.5499999999995135,1.2990231569583472,2.353768438963089,4,3.5694016809533897e-11,4.96243046654854e-11,-4.024416336238208e-05,-5.7315576637672944e-05,-3.3914405234959166e-09
2940.0,1.8222194336442668,2.5499999999989553,2.5499999999989553,1.294184804083215,2.349949161975293,4,3.383809411775744e-11,4.843059286940843e-11,-4.0315973037276495e-05,-5.727985373629697e-05,-3.364802641717508e-09
3000.0,1.819795938828606,2.5499999999978322,2.5499999999978322,1.289454227682244,2.346162462448568,4,3.316994047625797e-11,4.6270542952697724e-11,-4.047661322172156e-05,-5.737422373588817e-05,-3.2916008513922607e-09
