time_label,time_h,radius_cm,r_0.0_cm,r_0.5_cm,r_1.0_cm,r_1.5_cm,r_2.0_cm,surface
6 h,6,1.374,1.9518155511608042,1.7824198208802684,1.2569639316500965,,,0.566918862759709
12 h,12,1.248,0.8734946746277475,0.7764374449825501,0.4859647079870874,,,0.21445909063774493
18 h,18,1.214,0.45941111601690365,0.4130881895234441,0.2652244710687748,,,0.10203700773136087
24 h,24,1.204,0.3072514888897838,0.2805728843624888,0.19027096019544848,,,0.071309667208827
30 h,30,1.201,0.23808690208636185,0.21983492690969936,0.15549891427279652,,,0.061004598898660334
36 h,36,1.2,0.20000767683216636,0.186091997494253,0.13562531332980168,,,0.0566927633478879
42 h,42,1.2,0.1760878230113333,0.1647318947785688,0.12267324506872525,,,0.05448636789677422
48 h,48,1.2,0.15964413473976333,0.14996216480506605,0.11354743572926214,,,0.05324074177682717
烘干结束时间,52.664037595906734,1.2,0.1499999999999938,0.14126320319831723,0.10808127665920797,,,0.05260810188970121
