study,level,level_time_s,radius_cm,temperature_signed_error_C,temperature_absolute_error_C,moisture_signed_error,moisture_absolute_error
time,0.5,259200.0,0.9,-3.700506567838602e-11,3.700506567838602e-11,-2.9943825197165097e-12,2.9943825197165097e-12
time,0.5,259200.0,1.0,-3.609557097661309e-11,3.609557097661309e-11,-2.955163891371626e-12,2.955163891371626e-12
time,0.5,259200.0,1.1,-3.495870259939693e-11,3.495870259939693e-11,-2.9113933486257793e-12,2.9113933486257793e-12
time,0.5,259200.0,1.2,-3.387867764104158e-11,3.387867764104158e-11,-2.8595736889514e-12,2.8595736889514e-12
time,0.5,259200.0,1.3,-3.240074875066057e-11,3.240074875066057e-11,-2.803327014966328e-12,2.803327014966328e-12
time,0.5,259200.0,1.4,-3.154809746774845e-11,3.154809746774845e-11,-2.751063266082099e-12,2.751063266082099e-12
time,0.5,259200.0,1.5,-3.012701199622825e-11,3.012701199622825e-11,-2.7083058018462225e-12,2.7083058018462225e-12
time,0.5,259200.0,1.6,-2.8194335754960775e-11,2.8194335754960775e-11,-2.685768274446332e-12,2.685768274446332e-12
time,0.5,259200.0,1.7,-2.467004378559068e-11,2.467004378559068e-11,-2.694219847221291e-12,2.694219847221291e-12
time,0.5,259200.0,1.8,-2.575006874394603e-11,2.575006874394603e-11,-2.8178986921645333e-12,2.8178986921645333e-12
time,0.5,259200.0,1.9,-2.745537130977027e-11,2.745537130977027e-11,-3.3259089926573893e-12,3.3259089926573893e-12
time,0.5,259200.0,2.0,-3.3310243452433497e-11,3.3310243452433497e-11,-2.7804147872956264e-13,2.7804147872956264e-13
space,20,21600.0,0.0,1.206282718158036e-07,1.206282718158036e-07,5.5312343135494046e-05,5.5312343135494046e-05
space,20,21600.0,0.1,1.206874458148377e-07,1.206874458148377e-07,5.513064751760943e-05,5.513064751760943e-05
space,20,21600.0,0.2,1.2096217005819199e-07,1.2096217005819199e-07,5.4466797781760334e-05,5.4466797781760334e-05
space,20,21600.0,0.3,1.2204054655740038e-07,1.2204054655740038e-07,5.259541882174368e-05,5.259541882174368e-05
space,20,21600.0,0.4,1.216399141412694e-07,1.216399141412694e-07,5.230329243055554e-05,5.230329243055554e-05
space,20,21600.0,0.5,1.2399175375321647e-07,1.2399175375321647e-07,4.835930087210283e-05,4.835930087210283e-05
space,20,21600.0,0.6,1.2178725228295662e-07,1.2178725228295662e-07,4.986754203872845e-05,4.986754203872845e-05
