time_s,position_label,radius_cm,C_ref_surface,C_test_surface,signed_error,absolute_error
65.0,surface,2.0,2.3024847120566534,2.3025135492873825,2.8837230729106267e-05,2.8837230729106267e-05
66.0,near_surface_1.9cm,1.9,2.5167252532551867,2.516732160407874,6.907152687141149e-06,6.907152687141149e-06
66.0,surface,2.0,2.300694626991928,2.300723185751514,2.855875958562848e-05,2.855875958562848e-05
67.0,near_surface_1.9cm,1.9,2.5158394614320843,2.515846504580035,7.043147950636097e-06,7.043147950636097e-06
67.0,surface,2.0,2.298919604076571,2.298947890728352,2.828665178089551e-05,2.828665178089551e-05
68.0,near_surface_1.9cm,1.9,2.5149509516601225,2.514958126383282,7.174723159586449e-06,7.174723159586449e-06
68.0,surface,2.0,2.297159305426428,2.297187326096275,2.802066984708418e-05,2.802066984708418e-05
69.0,near_surface_1.9cm,1.9,2.5140599067855756,2.5140672087901854,7.302004609854862e-06,7.302004609854862e-06
69.0,surface,2.0,2.295413405615169,2.295441166204079,2.7760588909853112e-05,2.7760588909853112e-05
70.0,near_surface_1.9cm,1.9,2.513166501504312,2.5131739266205306,7.425116218762184e-06,7.425116218762184e-06
70.0,surface,2.0,2.2936815910256008,2.293709097221294,2.7506195693138835e-05,2.7506195693138835e-05
71.0,near_surface_1.9cm,1.9,2.5122709027489707,2.5122784469283426,7.54417937187668e-06,7.54417937187668e-06
71.0,surface,2.0,2.291963559249261,2.2919908165369542,2.7257287693149834e-05,2.7257287693149834e-05
72.0,near_surface_1.9cm,1.9,2.511373270056426,2.5113809293692304,7.659312804442209e-06,7.659312804442209e-06
72.0,surface,2.0,2.2902590185277627,2.2902860322001906,2.7013672427855795e-05,2.7013672427855795e-05
73.0,near_surface_1.9cm,1.9,2.5104737559165597,2.51048152654907,7.770632510339937e-06,7.770632510339937e-06
73.0,surface,2.0,2.28856768723123,2.2885944623980192,2.6775166789061444e-05,2.6775166789061444e-05
74.0,near_surface_1.9cm,1.9,2.5095725061033307,2.5095803843550235,7.878251692794436e-06,7.878251692794436e-06
74.0,surface,2.0,2.2868892933702316,2.2869158349666776,2.6541596445994742e-05,2.6541596445994742e-05
75.0,near_surface_1.9cm,1.9,2.5086696599890863,2.508677642269803,7.982280716856138e-06,7.982280716856138e-06
75.0,surface,2.0,2.2852235741382736,2.285249886933571,2.6312795297300795e-05,2.6312795297300795e-05
76.0,near_surface_1.9cm,1.9,2.507765350842984,2.5077734336700885,8.082827104516355e-06,8.082827104516355e-06
76.0,surface,2.0,2.2835702754823117,2.2835963640872867,2.6088604974994212e-05,2.6088604974994212e-05
77.0,near_surface_1.9cm,1.9,2.5068597061143945,2.506867886109905,8.179995510726457e-06,8.179995510726457e-06
77.0,surface,2.0,2.28192915169907,2.2819550205734553,2.5868874385270857e-05,2.5868874385270857e-05
78.0,near_surface_1.9cm,1.9,2.505952847702048,2.5059611215897983,8.273887750487319e-06,8.273887750487319e-06
78.0,surface,2.0,2.28029996505524,2.2803256185145027,2.5653459262642286e-05,2.5653459262642286e-05
79.0,near_surface_1.9cm,1.9,2.5050448922096917,2.5050532568125,8.364602808175192e-06,8.364602808175192e-06
79.0,surface,2.0,2.2786824854297407,2.2787079276515394,2.5442221798677167e-05,2.5442221798677167e-05
80.0,near_surface_1.9cm,1.9,2.5041359511889607,2.504144403425821,8.452236860190254e-06,8.452236860190254e-06
80.0,surface,2.0,2.277076489976497,2.27710172500676,2.523503026319318e-05,2.523503026319318e-05
81.0,near_surface_1.9cm,1.9,2.5032261313701243,2.503234668253439,8.536883314924637e-06,8.536883314924637e-06
