time_s,step_dt_s,C_inf,D_surface,robin_flux,literal_one_sided_diffusive_flux,literal_diffusive_minus_robin,face_diffusive_flux,face_diffusive_minus_robin,surface_control_volume_balance,picard_iterations,picard_final_normalized_residual,temperature_matrix_residual_linf,moisture_matrix_residual_linf,time_step_residual_normalized,time_alignment_error_s
2.1875,0.0625,0.01964421875,4.917157695103659e-09,2.00025673180842e-06,5.414045168865744e-07,-1.4588522149218457e-06,5.424395430047711e-07,-1.4578171888036491e-06,6.184577977152772e-18,2,6.248991738010382e-09,1.1368683772161603e-13,8.881784197001252e-16,3.775082695831023e-16,0.0
2.25,0.0625,0.019644625000000002,4.9166567480948435e-09,1.9996750221669357e-06,5.531384583494132e-07,-1.4465365638175225e-06,5.542193566272404e-07,-1.4454556655396953e-06,6.411635746576128e-18,2,6.359339373179186e-09,1.1368683772161603e-13,8.881784197001252e-16,3.775082374903302e-16,0.0
2.3125,0.0625,0.01964503125,4.916159755302254e-09,1.9990981744610722e-06,5.647048271181568e-07,-1.4343933473429155e-06,5.658319427483083e-07,-1.433266231712764e-06,6.6960667632861616e-18,2,6.4669054425206475e-09,1.1368683772161603e-13,8.881784197001252e-16,3.7750820495330454e-16,0.0
2.375,0.0625,0.0196454375,4.915666664227621e-09,1.9985261211565895e-06,5.761063386603887e-07,-1.422419782496201e-06,5.772799868998713e-07,-1.4212461342567182e-06,6.935657973350921e-18,2,6.571754904966245e-09,1.1368683772161603e-13,8.881784197001252e-16,3.775081719784555e-16,0.0
2.4375,0.0625,0.019645843750000003,4.915177423154111e-09,1.997958795798441e-06,5.873456612937177e-07,-1.4106131345047233e-06,5.88566128670434e-07,-1.4093926671280072e-06,7.194300807284002e-18,2,6.673950455463252e-09,1.1368683772161603e-13,4.440892098500626e-16,3.7750813857195363e-16,0.0
2.5,0.0625,0.01964625,4.914691981134493e-09,1.9973961329923513e-06,5.98425417045575e-07,-1.3989707159467764e-06,5.996929625223548e-07,-1.3977031704699966e-06,7.435241976108448e-18,2,6.773553569890523e-09,1.1368683772161603e-13,8.881784197001252e-16,3.7750810473972594e-16,0.0
2.5625,0.0625,0.019646656250000002,4.9142102879794645e-09,1.9968380683867244e-06,6.093481824966441e-07,-1.3874898858900803e-06,6.10663038594166e-07,-1.3861750297925585e-06,7.699416993978283e-18,2,6.8706245050584925e-09,1.1368683772161603e-13,8.881784197001252e-16,3.77508070487472e-16,0.0
2.625,0.0625,0.019647062500000003,4.9137322942461516e-09,1.9962845386548715e-06,6.20116489608238e-07,-1.3761680490466335e-06,6.214788634882395e-07,-1.374805675166632e-06,7.979189329478418e-18,2,6.96522160209865e-09,1.1368683772161603e-13,8.881784197001252e-16,3.7750803582067794e-16,0.0
2.6875,0.0625,0.01964746875,4.913257951226771e-09,1.995735481477555e-06,6.307328265339223e-07,-1.365002654943633e-06,6.32142901044045e-07,-1.3635925804335101e-06,8.190173325238644e-18,2,7.057402853837222e-09,1.1368683772161603e-13,8.881784197001252e-16,3.7750800074462973e-16,0.0
2.75,0.0625,0.019647875000000002,4.912787210937459e-09,1.995190835525847e-06,6.411996384156061e-07,-1.3539911971102407e-06,6.426575730971791e-07,-1.3525332624286676e-06,8.485040052556646e-18,2,7.147223118353075e-09,1.1368683772161603e-13,8.881784197001252e-16,3.7750796526442466e-16,0.0
