n_intervals,dt_s,bracket_s,t_cross_linear_s,first_strict_pass_s,cmax_before,cmax_after,critical_radius_after_cm,steps
20,0.0009765625,"[206935.2255859375, 206935.2265625]",206935.2260985608,206935.2265625,0.15000000014925188,0.14999999986492263,0.0,232
40,0.0009765625,"[206935.1123046875, 206935.11328125]",206935.11305949945,206935.11328125,0.15000000043925518,0.1499999998709545,0.0,116
