name,n_intervals,dt_s,runtime_s,t_cross_linear_s,t_cross_linear_h,round4_h,cmax_before,cmax_after,mass_max_abs_step,mass_cumulative_abs_step,mass_terminal_step,robin_max_abs,picard_max
independent_coarse,48,8.0,27.339525699999285,197354.7728043817,54.82077022343936,54.8208,0.15000132125622762,0.149997509213124,0.0008308814321019652,0.45792728793153126,3.886586755779885e-10,1.8049088671750632e-06,5.0
independent_production,96,4.0,84.19543359999989,191097.7336758627,53.082703798850744,53.0827,0.15000087683231383,0.14999885377291108,0.00041469851322862216,0.46175070006759233,5.147882458399841e-11,1.679485028232704e-06,5.0
independent_finer,144,2.0,215.51132720000078,190188.60538950787,52.830168163752184,52.8302,0.15000030891533567,0.1499992883646599,0.00020895005815766386,0.4625678018189138,1.1542225912203643e-11,1.661303508302199e-06,5.0
independent_linear_radius,48,8.0,24.904715900000156,197376.3225969624,54.826756276934,54.8268,0.15000015371493197,0.14999634177743967,0.0007002561496965245,0.456531305966696,3.8864822128813634e-10,1.80439786832176e-06,5.0
