test_case,reference_case,time_s,position_label,position_cm,C_ref_kg_kg,C_test_kg_kg,signed_error,absolute_error
N80_dt0.25,N80_dt0.0625_ref,0.0,surface,2.0,2.55,2.55,0.0,0.0
N80_dt0.25,N80_dt0.0625_ref,0.0,r_1.5cm,1.5,2.55,2.55,0.0,0.0
N80_dt0.25,N80_dt0.0625_ref,0.0,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.25,N80_dt0.0625_ref,0.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.25,N80_dt0.0625_ref,0.25,surface,2.0,2.546039688020037,2.5460957440442855,5.6056024248629654e-05,5.6056024248629654e-05
N80_dt0.25,N80_dt0.0625_ref,0.25,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,0.25,r_1.0cm,1.0,2.55,2.5500000000000003,4.440892098500626e-16,4.440892098500626e-16
N80_dt0.25,N80_dt0.0625_ref,0.25,center,0.0,2.55,2.5500000000000003,4.440892098500626e-16,4.440892098500626e-16
N80_dt0.25,N80_dt0.0625_ref,0.5,surface,2.0,2.5422338787508014,2.5423396503246205,0.00010577157381908009,0.00010577157381908009
N80_dt0.25,N80_dt0.0625_ref,0.5,r_1.5cm,1.5,2.550000000000002,2.55,-2.220446049250313e-15,2.220446049250313e-15
N80_dt0.25,N80_dt0.0625_ref,0.5,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt0.25,N80_dt0.0625_ref,0.5,center,0.0,2.55,2.5500000000000003,4.440892098500626e-16,4.440892098500626e-16
N80_dt0.25,N80_dt0.0625_ref,0.75,surface,2.0,2.538573663421744,2.5387234094869644,0.00014974606522022427,0.00014974606522022427
N80_dt0.25,N80_dt0.0625_ref,0.75,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,0.75,r_1.0cm,1.0,2.55,2.550000000000001,1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,0.75,center,0.0,2.55,2.5500000000000003,4.440892098500626e-16,4.440892098500626e-16
N80_dt0.25,N80_dt0.0625_ref,1.0,surface,2.0,2.535050705592842,2.535239231419193,0.00018852582635098258,0.00018852582635098258
N80_dt0.25,N80_dt0.0625_ref,1.0,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,1.0,r_1.0cm,1.0,2.55,2.5500000000000016,1.7763568394002505e-15,1.7763568394002505e-15
N80_dt0.25,N80_dt0.0625_ref,1.0,center,0.0,2.55,2.5500000000000003,4.440892098500626e-16,4.440892098500626e-16
N80_dt0.25,N80_dt0.0625_ref,1.25,surface,2.0,2.5316572023834283,2.5318798110340572,0.00022260865062895263,0.00022260865062895263
N80_dt0.25,N80_dt0.0625_ref,1.25,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,1.25,r_1.0cm,1.0,2.55,2.550000000000002,2.220446049250313e-15,2.220446049250313e-15
N80_dt0.25,N80_dt0.0625_ref,1.25,center,0.0,2.55,2.5500000000000003,4.440892098500626e-16,4.440892098500626e-16
N80_dt0.25,N80_dt0.0625_ref,1.5,surface,2.0,2.5283858484161046,2.528638296383419,0.00025244796731449526,0.00025244796731449526
N80_dt0.25,N80_dt0.0625_ref,1.5,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,1.5,r_1.0cm,1.0,2.55,2.5500000000000025,2.6645352591003757e-15,2.6645352591003757e-15
N80_dt0.25,N80_dt0.0625_ref,1.5,center,0.0,2.55,2.5500000000000003,4.440892098500626e-16,4.440892098500626e-16
N80_dt0.25,N80_dt0.0625_ref,1.75,surface,2.0,2.5252298022811854,2.5255082589412035,0.0002784566600180227,0.0002784566600180227
N80_dt0.25,N80_dt0.0625_ref,1.75,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,1.75,r_1.0cm,1.0,2.55,2.550000000000003,3.1086244689504383e-15,3.1086244689504383e-15
N80_dt0.25,N80_dt0.0625_ref,1.75,center,0.0,2.55,2.5500000000000003,4.440892098500626e-16,4.440892098500626e-16
N80_dt0.25,N80_dt0.0625_ref,2.0,surface,2.0,2.5221826553412754,2.522483665903994,0.0003010105627185844,0.0003010105627185844
N80_dt0.25,N80_dt0.0625_ref,2.0,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,2.0,r_1.0cm,1.0,2.55,2.5500000000000034,3.552713678800501e-15,3.552713678800501e-15
N80_dt0.25,N80_dt0.0625_ref,2.0,center,0.0,2.55,2.5500000000000003,4.440892098500626e-16,4.440892098500626e-16
N80_dt0.25,N80_dt0.0625_ref,2.25,surface,2.0,2.51923840270867,2.5195588543688943,0.000320451660224208,0.000320451660224208
N80_dt0.25,N80_dt0.0625_ref,2.25,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,2.25,r_1.0cm,1.0,2.55,2.550000000000004,3.9968028886505635e-15,3.9968028886505635e-15
N80_dt0.25,N80_dt0.0625_ref,2.25,center,0.0,2.55,2.5500000000000003,4.440892098500626e-16,4.440892098500626e-16
N80_dt0.25,N80_dt0.0625_ref,2.5,surface,2.0,2.5163914162404395,2.5167285072581964,0.00033709101775691863,0.00033709101775691863
N80_dt0.25,N80_dt0.0625_ref,2.5,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,2.5,r_1.0cm,1.0,2.55,2.5500000000000043,4.440892098500626e-15,4.440892098500626e-15
N80_dt0.25,N80_dt0.0625_ref,2.5,center,0.0,2.55,2.5500000000000003,4.440892098500626e-16,4.440892098500626e-16
N80_dt0.25,N80_dt0.0625_ref,2.75,surface,2.0,2.5136364194073084,2.513987630869647,0.00035121146233851874,0.00035121146233851874
N80_dt0.25,N80_dt0.0625_ref,2.75,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,2.75,r_1.0cm,1.0,2.55,2.5500000000000047,4.884981308350689e-15,4.884981308350689e-15
N80_dt0.25,N80_dt0.0625_ref,2.75,center,0.0,2.55,2.5500000000000003,4.440892098500626e-16,4.440892098500626e-16
N80_dt0.25,N80_dt0.0625_ref,3.0,surface,2.0,2.510968463902904,2.5113315339396327,0.00036307003672853,0.00036307003672853
N80_dt0.25,N80_dt0.0625_ref,3.0,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,3.0,r_1.0cm,1.0,2.55,2.5500000000000047,4.884981308350689e-15,4.884981308350689e-15
N80_dt0.25,N80_dt0.0625_ref,3.0,center,0.0,2.55,2.5500000000000003,4.440892098500626e-16,4.440892098500626e-16
N80_dt0.25,N80_dt0.0625_ref,3.25,surface,2.0,2.5083829078696174,2.5087558081146004,0.0003729002449830432,0.0003729002449830432
N80_dt0.25,N80_dt0.0625_ref,3.25,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,3.25,r_1.0cm,1.0,2.55,2.5500000000000047,4.884981308350689e-15,4.884981308350689e-15
N80_dt0.25,N80_dt0.0625_ref,3.25,center,0.0,2.55,2.5500000000000003,4.440892098500626e-16,4.440892098500626e-16
N80_dt0.25,N80_dt0.0625_ref,3.5,surface,2.0,2.5058753956262985,2.5062563097333896,0.00038091410709117923,0.00038091410709117923
N80_dt0.25,N80_dt0.0625_ref,3.5,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,3.5,r_1.0cm,1.0,2.55,2.5500000000000047,4.884981308350689e-15,4.884981308350689e-15
N80_dt0.25,N80_dt0.0625_ref,3.5,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.25,N80_dt0.0625_ref,3.75,surface,2.0,2.5034418387913266,2.5038291428300385,0.0003873040387118998,0.0003873040387118998
N80_dt0.25,N80_dt0.0625_ref,3.75,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,3.75,r_1.0cm,1.0,2.55,2.5500000000000047,4.884981308350689e-15,4.884981308350689e-15
N80_dt0.25,N80_dt0.0625_ref,3.75,center,0.0,2.55,2.5499999999999994,-4.440892098500626e-16,4.440892098500626e-16
N80_dt0.25,N80_dt0.0625_ref,4.0,surface,2.0,2.5010783987022838,2.50147064327298,0.0003922445706963096,0.0003922445706963096
N80_dt0.25,N80_dt0.0625_ref,4.0,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,4.0,r_1.0cm,1.0,2.55,2.5500000000000047,4.884981308350689e-15,4.884981308350689e-15
N80_dt0.25,N80_dt0.0625_ref,4.0,center,0.0,2.55,2.549999999999999,-8.881784197001252e-16,8.881784197001252e-16
N80_dt0.25,N80_dt0.0625_ref,4.25,surface,2.0,2.4987814700406252,2.499177363962467,0.00039589392184158356,0.00039589392184158356
N80_dt0.25,N80_dt0.0625_ref,4.25,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,4.25,r_1.0cm,1.0,2.55,2.5500000000000047,4.884981308350689e-15,4.884981308350689e-15
N80_dt0.25,N80_dt0.0625_ref,4.25,center,0.0,2.55,2.5499999999999985,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,4.5,surface,2.0,2.496547665576327,2.4969460610135683,0.00039839543724129456,0.00039839543724129456
N80_dt0.25,N80_dt0.0625_ref,4.5,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,4.5,r_1.0cm,1.0,2.55,2.5500000000000047,4.884981308350689e-15,4.884981308350689e-15
N80_dt0.25,N80_dt0.0625_ref,4.5,center,0.0,2.55,2.549999999999998,-1.7763568394002505e-15,1.7763568394002505e-15
N80_dt0.25,N80_dt0.0625_ref,4.75,surface,2.0,2.494373801953651,2.494773680857162,0.00039987890351111943,0.00039987890351111943
N80_dt0.25,N80_dt0.0625_ref,4.75,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,4.75,r_1.0cm,1.0,2.55,2.5500000000000047,4.884981308350689e-15,4.884981308350689e-15
N80_dt0.25,N80_dt0.0625_ref,4.75,center,0.0,2.55,2.5499999999999976,-2.220446049250313e-15,2.220446049250313e-15
N80_dt0.25,N80_dt0.0625_ref,5.0,surface,2.0,2.4922568864448165,2.492657348196103,0.0004004617512864961,0.0004004617512864961
N80_dt0.25,N80_dt0.0625_ref,5.0,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,5.0,r_1.0cm,1.0,2.55,2.5500000000000047,4.884981308350689e-15,4.884981308350689e-15
N80_dt0.25,N80_dt0.0625_ref,5.0,center,0.0,2.55,2.549999999999997,-2.6645352591003757e-15,2.6645352591003757e-15
N80_dt0.25,N80_dt0.0625_ref,5.25,surface,2.0,2.4901941046036655,2.490594354758135,0.00040025015446953915,0.00040025015446953915
N80_dt0.25,N80_dt0.0625_ref,5.25,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,5.25,r_1.0cm,1.0,2.55,2.5500000000000047,4.884981308350689e-15,4.884981308350689e-15
N80_dt0.25,N80_dt0.0625_ref,5.25,center,0.0,2.55,2.5499999999999967,-3.1086244689504383e-15,3.1086244689504383e-15
N80_dt0.25,N80_dt0.0625_ref,5.5,surface,2.0,2.488182808756258,2.488582148791207,0.0003993400349489029,0.0003993400349489029
N80_dt0.25,N80_dt0.0625_ref,5.5,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,5.5,r_1.0cm,1.0,2.55,2.5500000000000047,4.884981308350689e-15,4.884981308350689e-15
N80_dt0.25,N80_dt0.0625_ref,5.5,center,0.0,2.55,2.549999999999996,-3.9968028886505635e-15,3.9968028886505635e-15
N80_dt0.25,N80_dt0.0625_ref,5.75,surface,2.0,2.48622050726988,2.4866183252506446,0.00039781798076443664,0.00039781798076443664
N80_dt0.25,N80_dt0.0625_ref,5.75,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,5.75,r_1.0cm,1.0,2.55,2.5500000000000047,4.884981308350689e-15,4.884981308350689e-15
N80_dt0.25,N80_dt0.0625_ref,5.75,center,0.0,2.55,2.5499999999999954,-4.440892098500626e-15,4.440892098500626e-15
N80_dt0.25,N80_dt0.0625_ref,6.0,surface,2.0,2.484304854546116,2.484700616631156,0.0003957620850401078,0.0003957620850401078
N80_dt0.25,N80_dt0.0625_ref,6.0,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,6.0,r_1.0cm,1.0,2.55,2.5500000000000047,4.884981308350689e-15,4.884981308350689e-15
N80_dt0.25,N80_dt0.0625_ref,6.0,center,0.0,2.55,2.549999999999995,-4.884981308350689e-15,4.884981308350689e-15
N80_dt0.25,N80_dt0.0625_ref,6.25,surface,2.0,2.482433641687546,2.4828268843999175,0.00039324271237139996,0.00039324271237139996
N80_dt0.25,N80_dt0.0625_ref,6.25,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,6.25,r_1.0cm,1.0,2.55,2.5500000000000047,4.884981308350689e-15,4.884981308350689e-15
N80_dt0.25,N80_dt0.0625_ref,6.25,center,0.0,2.55,2.5499999999999945,-5.329070518200751e-15,5.329070518200751e-15
N80_dt0.25,N80_dt0.0625_ref,6.5,surface,2.0,2.480604787791219,2.480995110990036,0.0003903231988169331,0.0003903231988169331
N80_dt0.25,N80_dt0.0625_ref,6.5,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.25,N80_dt0.0625_ref,6.5,r_1.0cm,1.0,2.55,2.5500000000000047,4.884981308350689e-15,4.884981308350689e-15
N80_dt0.25,N80_dt0.0625_ref,6.5,center,0.0,2.55,2.549999999999994,-5.773159728050814e-15,5.773159728050814e-15
N80_dt0.25,N80_dt0.0625_ref,6.75,surface,2.0,2.47881633182537,2.4792033923165095,0.0003870604911395681,0.0003870604911395681
N80_dt0.25,N80_dt0.0625_ref,6.75,r_1.5cm,1.5,2.550000000000001,2.55,-1.3322676295501878e-15,1.3322676295501878e-15
