test_case,reference_case,time_s,position_label,position_cm,C_ref_kg_kg,C_test_kg_kg,signed_error,absolute_error
N80_dt0.125,N80_dt0.0625_ref,1.375,surface,2.0,2.530006694830278,2.530087320376656,8.062554637788821e-05,8.062554637788821e-05
N80_dt0.125,N80_dt0.0625_ref,1.375,r_1.5cm,1.5,2.550000000000001,2.5500000000000047,3.552713678800501e-15,3.552713678800501e-15
N80_dt0.125,N80_dt0.0625_ref,1.375,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,1.375,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,1.5,surface,2.0,2.5283858484161046,2.528471333412827,8.548499672222931e-05,8.548499672222931e-05
N80_dt0.125,N80_dt0.0625_ref,1.5,r_1.5cm,1.5,2.550000000000001,2.550000000000005,3.9968028886505635e-15,3.9968028886505635e-15
N80_dt0.125,N80_dt0.0625_ref,1.5,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,1.5,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,1.625,surface,2.0,2.526793822202205,2.5268838401533285,9.001795112340005e-05,9.001795112340005e-05
N80_dt0.125,N80_dt0.0625_ref,1.625,r_1.5cm,1.5,2.550000000000001,2.5500000000000056,4.440892098500626e-15,4.440892098500626e-15
N80_dt0.125,N80_dt0.0625_ref,1.625,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,1.625,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,1.75,surface,2.0,2.5252298022811854,2.525324043251597,9.424097041144108e-05,9.424097041144108e-05
N80_dt0.125,N80_dt0.0625_ref,1.75,r_1.5cm,1.5,2.550000000000001,2.550000000000006,4.884981308350689e-15,4.884981308350689e-15
N80_dt0.125,N80_dt0.0625_ref,1.75,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,1.75,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,1.875,surface,2.0,2.523693000854266,2.5237911707004157,9.816984614952062e-05,9.816984614952062e-05
N80_dt0.125,N80_dt0.0625_ref,1.875,r_1.5cm,1.5,2.550000000000001,2.5500000000000065,5.329070518200751e-15,5.329070518200751e-15
N80_dt0.125,N80_dt0.0625_ref,1.875,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,1.875,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,2.0,surface,2.0,2.5221826553412754,2.522284474976214,0.00010181963493849366,0.00010181963493849366
N80_dt0.125,N80_dt0.0625_ref,2.0,r_1.5cm,1.5,2.550000000000001,2.550000000000007,5.773159728050814e-15,5.773159728050814e-15
N80_dt0.125,N80_dt0.0625_ref,2.0,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,2.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,2.125,surface,2.0,2.5206980275221302,2.520803232213367,0.00010520469123687093,0.00010520469123687093
N80_dt0.125,N80_dt0.0625_ref,2.125,r_1.5cm,1.5,2.550000000000001,2.5500000000000074,6.217248937900877e-15,6.217248937900877e-15
N80_dt0.125,N80_dt0.0625_ref,2.125,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,2.125,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,2.25,surface,2.0,2.51923840270867,2.5193467414074084,0.00010833869873838609,0.00010833869873838609
N80_dt0.125,N80_dt0.0625_ref,2.25,r_1.5cm,1.5,2.550000000000001,2.550000000000008,6.661338147750939e-15,6.661338147750939e-15
N80_dt0.125,N80_dt0.0625_ref,2.25,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,2.25,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,2.375,surface,2.0,2.517803088945737,2.517914323646121,0.00011123470038443273,0.00011123470038443273
N80_dt0.125,N80_dt0.0625_ref,2.375,r_1.5cm,1.5,2.550000000000001,2.5500000000000083,7.105427357601002e-15,7.105427357601002e-15
N80_dt0.125,N80_dt0.0625_ref,2.375,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,2.375,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,2.5,surface,2.0,2.5163914162404395,2.516505321367501,0.0001139051270615532,0.0001139051270615532
