test_case,reference_case,time_s,position_label,position_cm,C_ref_kg_kg,C_test_kg_kg,signed_error,absolute_error
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.5625,surface,2.0,2.534753960956489,2.5477020061322713,0.012948045175782408,0.012948045175782408
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.5625,r_1.5cm,1.5,2.549999999999997,2.55,2.6645352591003757e-15,2.6645352591003757e-15
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.5625,r_1.0cm,1.0,2.549999999999999,2.55,8.881784197001252e-16,8.881784197001252e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.5625,center,0.0,2.5500000000000003,2.55,-4.440892098500626e-16,4.440892098500626e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.625,surface,2.0,2.533331651305708,2.547447577470841,0.014115926165132908,0.014115926165132908
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.625,r_1.5cm,1.5,2.549999999999997,2.55,2.6645352591003757e-15,2.6645352591003757e-15
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.625,r_1.0cm,1.0,2.549999999999999,2.55,8.881784197001252e-16,8.881784197001252e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.625,center,0.0,2.5500000000000003,2.55,-4.440892098500626e-16,4.440892098500626e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.6875,surface,2.0,2.531953473423638,2.547193328938296,0.015239855514658007,0.015239855514658007
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.6875,r_1.5cm,1.5,2.549999999999997,2.55,2.6645352591003757e-15,2.6645352591003757e-15
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.6875,r_1.0cm,1.0,2.549999999999999,2.55,8.881784197001252e-16,8.881784197001252e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.6875,center,0.0,2.5500000000000003,2.55,-4.440892098500626e-16,4.440892098500626e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.75,surface,2.0,2.530617134326351,2.54693926035274,0.01632212602638905,0.01632212602638905
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.75,r_1.5cm,1.5,2.549999999999997,2.55,2.6645352591003757e-15,2.6645352591003757e-15
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.75,r_1.0cm,1.0,2.549999999999999,2.55,8.881784197001252e-16,8.881784197001252e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.75,center,0.0,2.5500000000000003,2.55,-4.440892098500626e-16,4.440892098500626e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.8125,surface,2.0,2.529320477906293,2.54668537153248,0.017364893626186984,0.017364893626186984
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.8125,r_1.5cm,1.5,2.549999999999997,2.55,2.6645352591003757e-15,2.6645352591003757e-15
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.8125,r_1.0cm,1.0,2.549999999999999,2.55,8.881784197001252e-16,8.881784197001252e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.8125,center,0.0,2.5500000000000003,2.55,-4.440892098500626e-16,4.440892098500626e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.875,surface,2.0,2.5280614762233604,2.5464316622960315,0.018370186072671046,0.018370186072671046
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.875,r_1.5cm,1.5,2.549999999999997,2.55,2.6645352591003757e-15,2.6645352591003757e-15
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.875,r_1.0cm,1.0,2.549999999999999,2.55,8.881784197001252e-16,8.881784197001252e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.875,center,0.0,2.55,2.55,0.0,0.0
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.9375,surface,2.0,2.526838221371178,2.546178132462113,0.019339911090935136,0.019339911090935136
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.9375,r_1.5cm,1.5,2.549999999999997,2.55,2.6645352591003757e-15,2.6645352591003757e-15
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.9375,r_1.0cm,1.0,2.549999999999999,2.55,8.881784197001252e-16,8.881784197001252e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,0.9375,center,0.0,2.5499999999999994,2.55,4.440892098500626e-16,4.440892098500626e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.0,surface,2.0,2.525648917879612,2.545924781849649,0.020275863970036667,0.020275863970036667
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.0,r_1.5cm,1.5,2.549999999999997,2.55,2.6645352591003757e-15,2.6645352591003757e-15
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.0,r_1.0cm,1.0,2.549999999999999,2.55,8.881784197001252e-16,8.881784197001252e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.0,center,0.0,2.549999999999999,2.55,8.881784197001252e-16,8.881784197001252e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.0625,surface,2.0,2.5244918756172416,2.545671610277769,0.02117973466052714,0.02117973466052714
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.0625,r_1.5cm,1.5,2.549999999999997,2.55,2.6645352591003757e-15,2.6645352591003757e-15
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.0625,r_1.0cm,1.0,2.549999999999999,2.55,8.881784197001252e-16,8.881784197001252e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.0625,center,0.0,2.5499999999999985,2.55,1.3322676295501878e-15,1.3322676295501878e-15
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.125,surface,2.0,2.523365503159998,2.545418617565804,0.022053114405805818,0.022053114405805818
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.125,r_1.5cm,1.5,2.549999999999997,2.55,2.6645352591003757e-15,2.6645352591003757e-15
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.125,r_1.0cm,1.0,2.549999999999999,2.55,8.881784197001252e-16,8.881784197001252e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.125,center,0.0,2.549999999999998,2.55,1.7763568394002505e-15,1.7763568394002505e-15
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.1875,surface,2.0,2.522268301594544,2.5451658035332927,0.022897501938748732,0.022897501938748732
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.1875,r_1.5cm,1.5,2.549999999999997,2.55,2.6645352591003757e-15,2.6645352591003757e-15
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.1875,r_1.0cm,1.0,2.549999999999999,2.55,8.881784197001252e-16,8.881784197001252e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.1875,center,0.0,2.5499999999999976,2.55,2.220446049250313e-15,2.220446049250313e-15
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.25,surface,2.0,2.5211988587270873,2.544913167999975,0.023714309272887757,0.023714309272887757
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.25,r_1.5cm,1.5,2.549999999999997,2.55,2.6645352591003757e-15,2.6645352591003757e-15
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.25,r_1.0cm,1.0,2.549999999999999,2.55,8.881784197001252e-16,8.881784197001252e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.25,center,0.0,2.549999999999997,2.55,2.6645352591003757e-15,2.6645352591003757e-15
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.3125,surface,2.0,2.5201558436703757,2.544660710785796,0.024504867115420215,0.024504867115420215
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.3125,r_1.5cm,1.5,2.549999999999997,2.55,2.6645352591003757e-15,2.6645352591003757e-15
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.3125,r_1.0cm,1.0,2.549999999999999,2.55,8.881784197001252e-16,8.881784197001252e-16
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.3125,center,0.0,2.5499999999999967,2.55,3.1086244689504383e-15,3.1086244689504383e-15
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.375,surface,2.0,2.5191380017834653,2.544408431710903,0.025270429927437554,0.025270429927437554
dr0.1_dt0.0625,dr0.0125_ref_dt0.0625,1.375,r_1.5cm,1.5,2.549999999999997,2.55,2.6645352591003757e-15,2.6645352591003757e-15
