test_case,reference_case,time_s,position_label,position_cm,C_ref_kg_kg,C_test_kg_kg,signed_error,absolute_error
N80_dt0.0625_ref,dr0.0125_ref_dt0.0625,0.0,surface,2.0,2.55,2.55,0.0,0.0
N80_dt0.0625_ref,dr0.0125_ref_dt0.0625,0.0,r_1.5cm,1.5,2.55,2.55,0.0,0.0
N80_dt0.0625_ref,dr0.0125_ref_dt0.0625,0.0,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.0625_ref,dr0.0125_ref_dt0.0625,0.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.0625_ref,dr0.0125_ref_dt0.0625,0.0625,surface,2.0,2.5480495471745344,2.5489949275015134,0.0009453803269789951,0.0009453803269789951
N80_dt0.0625_ref,dr0.0125_ref_dt0.0625,0.0625,r_1.5cm,1.5,2.5499999999999994,2.55,4.440892098500626e-16,4.440892098500626e-16
N80_dt0.0625_ref,dr0.0125_ref_dt0.0625,0.0625,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.0625_ref,dr0.0125_ref_dt0.0625,0.0625,center,0.0,2.5500000000000003,2.55,-4.440892098500626e-16,4.440892098500626e-16
N80_dt0.0625_ref,dr0.0125_ref_dt0.0625,0.125,surface,2.0,2.546171803769424,2.5479999508971964,0.0018281471277723504,0.0018281471277723504
N80_dt0.0625_ref,dr0.0125_ref_dt0.0625,0.125,r_1.5cm,1.5,2.549999999999999,2.5500000000000003,1.3322676295501878e-15,1.3322676295501878e-15
N80_dt0.0625_ref,dr0.0125_ref_dt0.0625,0.125,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.0625_ref,dr0.0125_ref_dt0.0625,0.125,center,0.0,2.5500000000000003,2.55,-4.440892098500626e-16,4.440892098500626e-16
N80_dt0.0625_ref,dr0.0125_ref_dt0.0625,0.1875,surface,2.0,2.544362734677498,2.5470149202286545,0.0026521855511565384,0.0026521855511565384
N80_dt0.0625_ref,dr0.0125_ref_dt0.0625,0.1875,r_1.5cm,1.5,2.5499999999999985,2.5500000000000007,2.220446049250313e-15,2.220446049250313e-15
N80_dt0.0625_ref,dr0.0125_ref_dt0.0625,0.1875,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.0625_ref,dr0.0125_ref_dt0.0625,0.1875,center,0.0,2.5500000000000003,2.55,-4.440892098500626e-16,4.440892098500626e-16
N80_dt0.0625_ref,dr0.0125_ref_dt0.0625,0.25,surface,2.0,2.5426185539868604,2.546039688020037,0.003421134033176454,0.003421134033176454
N80_dt0.0625_ref,dr0.0125_ref_dt0.0625,0.25,r_1.5cm,1.5,2.549999999999998,2.550000000000001,3.1086244689504383e-15,3.1086244689504383e-15
N80_dt0.0625_ref,dr0.0125_ref_dt0.0625,0.25,r_1.0cm,1.0,2.5499999999999994,2.55,4.440892098500626e-16,4.440892098500626e-16
