time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm,cmax_kg_kg,critical_radius_cm,volume_mean_kg_kg
60.0,2.549999999999979,2.5499999999999807,2.5499999999999847,2.5499999999999874,2.5499999999999954,2.549999999999986,2.5499999999999776,2.549999999999988,2.5499999999999883,2.549999999999979,2.549999999999972,2.549999999999974,2.5499999999999754,2.5499999999999763,2.549999999999972,2.5499999999197525,2.549999922854056,2.549979457250886,2.5485031311276956,2.5184784623873724,2.32709500463277,2.5499999999999954,0.4,2.5360023648927603
120.0,2.549999999999959,2.5499999999999625,2.54999999999997,2.549999999999969,2.549999999999974,2.5499999999999705,2.5499999999999625,2.549999999999968,2.549999999999974,2.5499999999999616,2.5499999999999505,2.5499999999999505,2.5499999999993332,2.549999999832614,2.549999976105342,2.5499982235848973,2.5499316941868617,2.548631571664609,2.5353945191700014,2.4632586489353874,2.2421064690022607,2.549999999999974,0.4,2.5253133529497713
180.0,2.549999999999939,2.5499999999999434,2.5499999999999585,2.5499999999999527,2.549999999999957,2.5499999999999523,2.549999999999947,2.5499999999999505,2.5499999999999483,2.5499999999999354,2.5499999999996206,2.5499999999672394,2.549999997632547,2.549999888807222,2.549996641477716,2.5499347293180934,2.549180443036597,2.5432784249796003,2.513292018176632,2.412365422792668,2.179848387687404,2.5499999999999585,0.2,2.5149340694980418
240.0,2.549999999999918,2.549999999999922,2.549999999999935,2.549999999999939,2.549999999999942,2.5499999999999368,2.5499999999999337,2.5499999999999354,2.5499999999998795,2.549999999996354,2.549999999820666,2.549999993418155,2.5499998262116224,2.5499967019225562,2.5499550906041684,2.549559833689965,2.546876798759464,2.5337930314268506,2.4875127946355806,2.366849762291221,2.1292972955819,2.549999999999942,0.4,2.5048037923620816
300.0,2.549999999999902,2.5499999999999012,2.5499999999999194,2.549999999999916,2.5499999999999248,2.549999999999921,2.5499999999999097,2.549999999999599,2.549999999987406,2.5499999996095832,2.549999990610381,2.5499998257689107,2.5499975211021018,2.549972932475402,2.5497730438762245,2.548533303141402,2.5426522581892232,2.5212055963165105,2.4605625249171146,2.3258356608244046,2.0863671709071294,2.5499999999999248,0.4,2.4948897635583043
360.0,2.5499999999998826,2.5499999999998875,2.5499999999999052,2.549999999999905,2.549999999999906,2.549999999999879,2.549999999999031,2.5499999999761567,2.5499999994692075,2.5499999903957793,2.5499998603810967,2.549998367778097,2.5499847032670835,2.5498849214626107,2.549304041653947,2.546604058931451,2.5365573196373794,2.506485734703439,2.4335306281438354,2.2885078820318374,2.0488859111369253,2.549999999999906,0.4,2.4851606587339643
420.0,2.5499999999998724,2.549999999999875,2.5499999999998892,2.5499999999998844,2.5499999999998213,2.5499999999983674,2.5499999999682452,2.549999999445272,2.5499999918871903,2.549999901147934,2.549999001805205,2.5499916393377315,2.5499420135817825,2.5496664913758846,2.548406536745088,2.5436532334872215,2.5288201969939297,2.4903617577424444,2.4069570597260084,2.25426422310416,2.015473213212516,2.5499999999998892,0.2,2.4755961991805693
480.0,2.5499999999998533,2.5499999999998564,2.5499999999998635,2.549999999999756,2.5499999999978313,2.5499999999657823,2.5499999995069946,2.549999993878386,2.5499999351377887,2.5499994144504314,2.5499955130470173,2.549970795274256,2.549838683237274,2.549242716915741,2.5469731160574933,2.5396647173294986,2.5197137869359714,2.4733518852999334,2.381092699265538,2.22261847508188,1.9852359850394703,2.5499999999998635,0.2,2.4661790752784842
540.0,2.5499999999998297,2.5499999999998297,2.5499999999996956,2.5499999999975116,2.549999999967651,2.5499999996029925,2.5499999956990833,2.5499999592838876,2.5499996651375407,2.549997610815129,2.549985254340672,2.5499212346176137,2.5496360223796857,2.5485429193383857,2.544937417482006,2.534686348788282,2.5095004926826205,2.455823316932584,2.356051976215282,2.19317828118046,1.9576524547299157,2.5499999999998297,0.0,2.4569000477245995
600.0,2.5499999999997587,2.5499999999995815,2.5499999999973304,2.549999999971428,2.549999999698335,2.5499999970991434,2.549999975109496,2.54999981075173,2.549998731310786,2.549992512044679,2.5499611809755844,2.549823166138687,2.549292287992339,2.547508351173223,2.542268770688444,2.528797218442827,2.4984033570475472,2.4380158158753744,2.331842465987027,2.1656416108823047,1.9323438273270952,2.5499999999997587,0.0,2.447746772936693
660.0,2.5499999999989966,2.5499999999969125,2.549999999975065,2.5499999997753307,2.549999998079246,2.5499999849426103,2.5499998934477555,2.549999323870252,2.5499961702101652,2.549980665930452,2.5499131794367393,2.549653112741994,2.5487668323380026,2.5460946704615766,2.53896279211358,2.5220875996019623,2.4866065101242207,2.4200969731892017,2.308460377967991,2.139782067655183,1.90900278033393,2.5499999999989966,0.0,2.43871053812337
720.0,2.5499999999919596,2.5499999999754106,2.5499999998286973,2.5499999987186057,2.5499999908595683,2.54999993966743,2.5499996368746127,2.5499980202340318,2.5499902643546117,2.5499568874413105,2.549828373139606,2.549385699457394,2.548022877765144,2.5442714783063027,2.535032828950269,2.514647447777872,2.474257298562134,2.402179614393691,2.2858776992689847,2.115423140821496,1.887331847584901,2.5499999999919596,0.0,2.4297800660945468
780.0,2.5499999999442298,2.5499999998481795,2.5499999991059297,2.549999994319644,2.5499999652988934,2.5499998022010426,2.549998962917463,2.5499950313787836,2.549978337404006,2.5499141969944623,2.5496917251216895,2.5489952666085185,2.5470289769638965,2.542020593891048,2.530504156951685,2.5065643156752353,2.4614820626416014,2.3843591940926396,2.2640871731389054,2.092412845484581,1.8671000930818908,2.5499999999442298,0.0,2.4209498713657682
840.0,2.5499999996971354,2.549999999261601,2.549999996259434,2.5499999793783306,2.5499998898212906,2.5499994466679725,2.549997424402673,2.549988962150966,2.5499566214614178,2.549843941299343,2.5494867853694436,2.5484572046126783,2.5457597357909933,2.539334292764818,2.525409827100309,2.497920168231599,2.448384426534702,2.3667005693815493,2.243053318649688,2.0706157479220795,1.8481337556920188,2.5499999996971354,0.0,2.412212879291612
900.0,2.5499999986689215,2.549999997049418,2.5499999869093566,2.549999936258911,2.549999697050289,2.5499986376862562,2.549994284187895,2.5499777737552303,2.549920210826091,2.549736047429447,2.5491964352648826,2.5477488713319985,2.5441957580795376,2.5362131501191407,2.5197874567260277,2.488791519115363,2.4350540083800007,2.349258888799069,2.222756005256559,2.049920423722447,1.8302506430536556,2.5499999986689215,0.0,2.4035640615815654
960.0,2.5499999950888177,2.5499999899668953,2.549999960410884,2.54999982724851,2.5499992594132372,2.549996978499044,2.549988430379492,2.549958701048015,2.5498630995013287,2.54957936105359,2.5488035778218423,2.546850248766514,2.5423234575365075,2.5326645645561614,2.513677317139101,2.4792481965836206,2.421563693741999,2.332067146157371,2.203149464607074,2.030205396162725,1.8134183559356236,2.5499999950888177,0.0,2.3949996951725963
1020.0,2.549999984327993,2.5499999701593152,2.549999893912777,2.5499995801148003,2.5499983576230356,2.5499938540478624,2.5499783013930823,2.5499282116024067,2.549778287374292,2.5493620112335504,2.548291677397228,2.5457441614824265,2.540134124428475,2.528700075167455,2.5071181542385625,2.469348765796944,2.407966320935139,2.315137799612897,2.18418778053403,2.011404235815709,1.797500546637051,2.549999984327993,0.0,2.3865125306995485
1080.0,2.5499999557190036,2.5499999206790758,2.5499997431235264,2.549999068468126,2.549996643395588,2.5499883736721536,2.5499618271518085,2.5498820039133423,2.549657925464616,2.5490717423063,2.5476451197783256,2.544416257253089,2.537623199879478,2.5243344847461393,2.5001483894354424,2.4591475701503134,2.394311369570755,2.2984908343147947,2.165848236337591,1.9934346779111058,1.7824953604892328,2.5499999557190036,0.0,2.378103049228971
1140.0,2.5499998871313836,2.549999808306759,2.549999429174823,2.5499980870963377,2.549993598483736,2.5499793178600925,2.5499363903413648,2.549815041762766,2.5494934916566487,2.5486962339109387,2.546849520761895,2.542854989416356,2.5347896139472366,2.519584299594631,2.49280288887437,2.448687180540882,2.3806275972070874,2.2821177670742343,2.148075491301962,1.9762485547961766,1.7683174799372614,2.5499998871313836,0.0,2.3697632073548975
1200.0,2.549999736540713,2.5499995729827094,2.5499988212587485,2.54999632298465,2.549988492470694,2.5499650925215755,2.5498988078593254,2.5497216122846305,2.5492759574781805,2.548223313541098,2.545891753727937,2.5410511093446893,2.531634576708339,2.514466463924874,2.4851140390100452,2.4380070001685876,2.3669472470802115,2.2660325108247488,2.130868108044656,1.9598031343272648,1.7548467367095202,2.549999736540713,0.0,2.3614906861171563
1260.0,2.5499994299046254,2.549999113303683,2.5499977150195576,2.5499933230345593,2.5499803414340136,2.5499436924299106,2.5498453302192794,2.5495954017298748,2.548995958953271,2.5476411813591024,2.544760142086528,2.5389978332678336,2.528162036974195,2.5089997270041278,2.4771141483320296,2.4271444696083146,2.353299592700817,2.2502438401365024,2.1142030645505536,1.9440444348741297,1.7419791251902277,2.5499994299046254,0.0,2.353280552790382
1320.0,2.5499988448408213,2.549998267775117,2.5499958070225013,2.5499884598485516,2.549967869880117,2.5499126764916262,2.5497716612181933,2.549429592739123,2.548643976942515,2.546938615943096,2.543444562459448,2.536690693978502,2.5243782028968025,2.5032039068777068,2.4688347924105316,2.416135330397032,2.339713100339045,2.2347605568593063,2.0980574105166876,1.9289016957761633,1.7297467867519782,2.5499988448408213,0.0,2.3451330584710526
1380.0,2.5499977898888146,2.549996791830767,2.5499926659810486,2.549980897175858,2.549949478049099,2.5498691558697586,2.5496729950120858,2.5492169728637752,2.5482105059026696,2.5461051313189054,2.5419364559103066,2.534127237572385,2.5202907135307826,2.497098104906302,2.460302942421726,2.4050051433454103,2.3261986854766916,2.2195654621608916,2.0823821166931222,1.9143484788580654,1.7181425979533589,2.5499977898888146,0.0,2.3370439137968555
1440.0,2.5499959794731666,2.549994330961118,2.549987701663286,2.549969556484256,2.549923215649137,2.5498097931073285,2.5495440610477735,2.548950028296757,2.5476861508985067,2.5451309572189627,2.5402285100711066,2.5313062636416115,2.5159075695190007,2.49070016797051,2.451543137800902,2.393778433890453,2.31277287305905,2.2046632103607453,2.0671790357852196,1.9003679726722422,1.70700576382936,2.5499959794731666,0.0,2.3290089496838386
1500.0,2.5499930049329977,2.5499903904685115,2.549980132292061,2.549953085384873,2.549886761478503,2.549730809093902,2.549379173194855,2.548621035246788,2.547061738332498,2.5440071460001765,2.538314819214282,2.528228301849921,2.5112384568504376,2.4840294190035355,2.442581455700463,2.382481948908657,2.2994560217867464,2.190063226501972,2.052439435339316,1.8869123679232394,1.6962580384742494,2.5499930049329977,0.0,2.321025473582282
1560.0,2.5499883022883036,2.5499843026626356,2.5499689516014525,2.549929829514086,2.5498374114365037,2.549628003543535,2.549172297859049,2.5482221800260136,2.5463284755027313,2.5427257491929125,2.5361910638541434,2.524895793500294,2.5062948929223943,2.4771066039542378,2.4334449995854848,2.371143564966721,2.28626986130239,2.1757727511910785,2.0381429213936357,1.873923466228485,1.685933568020643,2.5499883022883036,0.0,2.313094723562343
1620.0,2.5499811179068925,2.549975192812784,2.5499528972424548,2.5498978099469873,2.5497720770395076,2.549496789975449,2.5489171370210575,2.547745687335712,2.545478097052027,2.5412799248640447,2.533854481246635,2.521312741829576,2.5010891694451165,2.469951345635218,2.424156485167839,2.35978183111002,2.2732196075923596,2.1617741341422403,2.0242477103530545,1.8613807738856059,1.676009619985888,2.5499811179068925,0.0,2.3052125536672516
1680.0,2.5499704735250632,2.5499619453626075,2.549930422030822,2.5498547069983686,2.5496872928777203,2.5493322370583353,2.548607202534641,2.5471839001715906,2.5445028816381003,2.5396637764428345,2.5313033917071683,2.5174838637281396,2.495633362451668,2.4625819474148978,2.414736980422778,2.348415383579619,2.2603158134303305,2.1480670608123567,2.010748077392705,1.849258589490946,1.6664467236198583,2.5499704735250632,0.0,2.2973785760199807
1740.0,2.5499551317407794,2.549943171373068,2.5498996683591435,2.549797849169784,2.5495792291962878,2.5491291109562177,2.548235884551363,2.5465293571254883,2.543395717030825,2.5378724130586794,2.5285373385931713,2.5134149886757133,2.489940141653644,2.4550163116578902,2.4052054084948944,2.3370576313293916,2.2475590438558375,2.1346336997990316,1.9976049859293534,1.8375223728640333,1.6573350503241708,2.5499551317407794,0.0,2.2895922347138815
1800.0,2.549933563334972,2.5499171785064862,2.549858447005577,2.5497242086477803,2.5494437122116773,2.5488819242096716,2.547796520787854,2.545774852902753,2.5421500917955675,2.535901766758094,2.525556554075871,2.5091118906151832,2.4840205835942473,2.4472684227353376,2.39557404658754,2.3257132580273274,2.2349413498966655,2.121452821771172,1.9847968734534247,1.8261815257231377,1.6486250284491784,2.549933563334972,0.0,2.281849544775062
1860.0,2.549903917349183,2.5498819441828133,2.5498042198376494,2.5496304000457077,2.549276242609715,2.548584968971198,2.547282423016198,2.5449134154185287,2.5407599666612115,2.533748321498636,2.522361603324147,2.504580125660773,2.477884871118558,2.439351127231701,2.385855134010345,2.314390415657171,2.222465183080011,2.108524748652141,1.9723290515140763,1.8152230762286357,1.6402515201449983,2.549903917349183,0.0,2.274148882193783
1920.0,2.549863993606769,2.5498350912751637,2.549734084966972,2.5495126804779358,2.5490720130234776,2.548232348679207,2.5466869141322164,2.5439383425382487,2.539219830661463,2.5314092672567554,2.5189537975103473,2.4998259166248737,2.471543772299455,2.431277951129032,2.3760620205621072,2.3030992860689943,2.210136439602444,2.0958524974264714,1.960199934134944,1.8046336258017117,1.6321145932275312,2.549863993606769,0.0,2.2664871938868476
