time_s,distance_cm,temperature_c
0,0,28
0.25,0,28.000000000000057
0.5,0,28.000000000000114
0.75,0,28.000000000000114
1,0,28.000000000000171
1.25,0,28.000000000000227
1.5,0,28.000000000000284
1.75,0,28.000000000000341
2,0,28.000000000000398
2.25,0,28.000000000000512
2.5,0,28.000000000000512
2.75,0,28.000000000000512
3,0,28.000000000000568
3.25,0,28.000000000000568
3.5,0,28.000000000000568
3.75,0,28.000000000000568
4,0,28.000000000000568
4.25,0,28.000000000000568
4.5,0,28.000000000000568
4.75,0,28.000000000000568
5,0,28.000000000000568
5.25,0,28.000000000000568
5.5,0,28.000000000000568
5.75,0,28.000000000000568
6,0,28.000000000000568
6.25,0,28.000000000000568
6.5,0,28.000000000000568
6.75,0,28.000000000000568
7,0,28.000000000000568
7.25,0,28.000000000000568
7.5,0,28.000000000000568
7.75,0,28.000000000000568
8,0,28.000000000000568
8.25,0,28.000000000000568
8.5,0,28.000000000000568
8.75,0,28.000000000000568
9,0,28.000000000000568
9.25,0,28.000000000000568
9.5,0,28.000000000000568
9.75,0,28.000000000000568
10,0,28.000000000000568
10.25,0,28.000000000000568
10.5,0,28.000000000000568
10.75,0,28.000000000000568
11,0,28.000000000000568
11.25,0,28.000000000000568
11.5,0,28.000000000000568
11.75,0,28.000000000000568
12,0,28.000000000000568
12.25,0,28.000000000000568
12.5,0,28.000000000000568
12.75,0,28.000000000000568
13,0,28.000000000000568
13.25,0,28.000000000000568
13.5,0,28.000000000000568
13.75,0,28.000000000000568
14,0,28.000000000000568
14.25,0,28.000000000000568
14.5,0,28.000000000000568
14.75,0,28.000000000000568
15,0,28.000000000000568
15.25,0,28.000000000000568
15.5,0,28.000000000000568
15.75,0,28.000000000000568
16,0,28.000000000000512
16.25,0,28.000000000000512
16.5,0,28.000000000000512
16.75,0,28.000000000000512
17,0,28.000000000000512
17.25,0,28.000000000000398
17.5,0,28.000000000000284
17.75,0,28.000000000000171
18,0,28
18.25,0,27.999999999999943
18.5,0,27.999999999999829
18.75,0,27.999999999999602
19,0,27.999999999999488
19.25,0,27.999999999999375
19.5,0,27.999999999999204
19.75,0,27.999999999999091
20,0,27.999999999999034
20.25,0,27.99999999999892
20.5,0,27.999999999998806
20.75,0,27.999999999998749
21,0,27.999999999998636
21.25,0,27.999999999998579
21.5,0,27.999999999998522
21.75,0,27.999999999998522
22,0,27.999999999998408
22.25,0,27.999999999998181
22.5,0,27.999999999998067
22.75,0,27.999999999997954
23,0,27.99999999999784
23.25,0,27.999999999997669
23.5,0,27.999999999997613
23.75,0,27.999999999997499
24,0,27.999999999997442
24.25,0,27.999999999997442
24.5,0,27.999999999997442
24.75,0,27.999999999997442
25,0,27.999999999997442
25.25,0,27.999999999997442
25.5,0,27.999999999997442
25.75,0,27.999999999997442
26,0,27.999999999997442
26.25,0,27.999999999997442
26.5,0,27.999999999997442
26.75,0,27.999999999997442
27,0,27.999999999997442
27.25,0,27.999999999997442
27.5,0,27.999999999997442
27.75,0,27.999999999997442
28,0,27.999999999997442
28.25,0,27.999999999997442
28.5,0,27.999999999997442
28.75,0,27.999999999997499
29,0,27.999999999997556
29.25,0,27.999999999997669
29.5,0,27.99999999999784
29.75,0,27.999999999998067
30,0,27.999999999998408
30.25,0,27.999999999998749
30.5,0,27.999999999999204
30.75,0,27.999999999999886
31,0,28.000000000000739
31.25,0,28.000000000001592
31.5,0,28.000000000002672
31.75,0,28.000000000003865
32,0,28.000000000005286
32.25,0,28.000000000006878
32.5,0,28.000000000008811
32.75,0,28.000000000011084
33,0,28.000000000013756
33.25,0,28.000000000016769
33.5,0,28.000000000020179
33.75,0,28.000000000024158
34,0,28.000000000028763
34.25,0,28.000000000033879
34.5,0,28.000000000039847
34.75,0,28.000000000046668
35,0,28.000000000054342
35.25,0,28.000000000063096
35.5,0,28.000000000072987
35.75,0,28.000000000084071
36,0,28.000000000096691
36.25,0,28.000000000110902
36.5,0,28.000000000126818
36.75,0,28.000000000144667
37,0,28.000000000164789
37.25,0,28.000000000187185
37.5,0,28.00000000021231
37.75,0,28.000000000240277
38,0,28.000000000271484
38.25,0,28.000000000306215
38.5,0,28.000000000344755
38.75,0,28.000000000387558
39,0,28.000000000434909
39.25,0,28.000000000487432
39.5,0,28.000000000545583
39.75,0,28.000000000609703
40,0,28.000000000680473
40.25,0,28.000000000758405
40.5,0,28.000000000844125
40.75,0,28.000000000938314
41,0,28.000000001041826
41.25,0,28.000000001155286
41.5,0,28.000000001279659
41.75,0,28.000000001415856
42,0,28.000000001564729
42.25,0,28.000000001727187
42.5,0,28.000000001904596
42.75,0,28.000000002097977
43,0,28.000000002308525
43.25,0,28.000000002537718
43.5,0,28.000000002786692
43.75,0,28.00000000305721
