time_s,distance_cm,moisture_kg_kg
0,0,2.5499999999999998
0.25,0,2.5499999999999998
0.5,0,2.5499999999999998
0.75,0,2.5499999999999998
1,0,2.5499999999999994
1.25,0,2.5499999999999985
1.5,0,2.549999999999998
1.75,0,2.549999999999998
2,0,2.549999999999998
2.25,0,2.549999999999998
2.5,0,2.549999999999998
2.75,0,2.549999999999998
3,0,2.549999999999998
3.25,0,2.549999999999998
3.5,0,2.549999999999998
3.75,0,2.549999999999998
4,0,2.549999999999998
4.25,0,2.549999999999998
4.5,0,2.549999999999998
4.75,0,2.549999999999998
5,0,2.549999999999998
5.25,0,2.549999999999998
5.5,0,2.549999999999998
5.75,0,2.549999999999998
6,0,2.549999999999998
6.25,0,2.549999999999998
6.5,0,2.549999999999998
6.75,0,2.549999999999998
7,0,2.549999999999998
7.25,0,2.549999999999998
7.5,0,2.549999999999998
7.75,0,2.549999999999998
8,0,2.549999999999998
8.25,0,2.549999999999998
8.5,0,2.549999999999998
8.75,0,2.549999999999998
9,0,2.549999999999998
9.25,0,2.549999999999998
9.5,0,2.549999999999998
9.75,0,2.549999999999998
10,0,2.549999999999998
10.25,0,2.549999999999998
10.5,0,2.549999999999998
10.75,0,2.549999999999998
11,0,2.549999999999998
11.25,0,2.549999999999998
11.5,0,2.549999999999998
11.75,0,2.549999999999998
12,0,2.549999999999998
12.25,0,2.549999999999998
12.5,0,2.549999999999998
12.75,0,2.549999999999998
13,0,2.549999999999998
13.25,0,2.549999999999998
13.5,0,2.549999999999998
13.75,0,2.549999999999998
14,0,2.549999999999998
14.25,0,2.549999999999998
14.5,0,2.549999999999998
14.75,0,2.549999999999998
15,0,2.549999999999998
15.25,0,2.549999999999998
15.5,0,2.549999999999998
15.75,0,2.549999999999998
16,0,2.549999999999998
16.25,0,2.549999999999998
16.5,0,2.549999999999998
16.75,0,2.549999999999998
17,0,2.549999999999998
17.25,0,2.549999999999998
17.5,0,2.549999999999998
17.75,0,2.549999999999998
18,0,2.549999999999998
18.25,0,2.549999999999998
18.5,0,2.549999999999998
18.75,0,2.549999999999998
19,0,2.549999999999998
19.25,0,2.549999999999998
19.5,0,2.549999999999998
19.75,0,2.549999999999998
20,0,2.549999999999998
20.25,0,2.549999999999998
20.5,0,2.549999999999998
20.75,0,2.549999999999998
21,0,2.549999999999998
21.25,0,2.549999999999998
21.5,0,2.549999999999998
21.75,0,2.549999999999998
22,0,2.549999999999998
22.25,0,2.549999999999998
22.5,0,2.549999999999998
22.75,0,2.549999999999998
23,0,2.549999999999998
23.25,0,2.549999999999998
23.5,0,2.549999999999998
23.75,0,2.549999999999998
24,0,2.549999999999998
24.25,0,2.549999999999998
24.5,0,2.549999999999998
24.75,0,2.549999999999998
25,0,2.549999999999998
25.25,0,2.549999999999998
25.5,0,2.549999999999998
25.75,0,2.549999999999998
26,0,2.549999999999998
26.25,0,2.549999999999998
26.5,0,2.549999999999998
26.75,0,2.549999999999998
27,0,2.549999999999998
27.25,0,2.549999999999998
27.5,0,2.549999999999998
27.75,0,2.549999999999998
28,0,2.549999999999998
28.25,0,2.549999999999998
28.5,0,2.549999999999998
28.75,0,2.549999999999998
29,0,2.549999999999998
29.25,0,2.549999999999998
29.5,0,2.549999999999998
29.75,0,2.549999999999998
30,0,2.549999999999998
30.25,0,2.549999999999998
30.5,0,2.549999999999998
30.75,0,2.549999999999998
31,0,2.549999999999998
31.25,0,2.549999999999998
31.5,0,2.549999999999998
31.75,0,2.549999999999998
32,0,2.549999999999998
32.25,0,2.549999999999998
32.5,0,2.549999999999998
32.75,0,2.549999999999998
33,0,2.549999999999998
33.25,0,2.549999999999998
33.5,0,2.549999999999998
33.75,0,2.549999999999998
34,0,2.549999999999998
34.25,0,2.549999999999998
34.5,0,2.549999999999998
34.75,0,2.549999999999998
35,0,2.549999999999998
35.25,0,2.549999999999998
35.5,0,2.549999999999998
35.75,0,2.549999999999998
36,0,2.549999999999998
36.25,0,2.549999999999998
36.5,0,2.549999999999998
36.75,0,2.549999999999998
37,0,2.549999999999998
37.25,0,2.549999999999998
37.5,0,2.549999999999998
37.75,0,2.549999999999998
38,0,2.549999999999998
38.25,0,2.549999999999998
38.5,0,2.549999999999998
38.75,0,2.549999999999998
39,0,2.549999999999998
39.25,0,2.549999999999998
39.5,0,2.549999999999998
39.75,0,2.549999999999998
40,0,2.549999999999998
40.25,0,2.549999999999998
40.5,0,2.549999999999998
40.75,0,2.549999999999998
41,0,2.549999999999998
41.25,0,2.549999999999998
41.5,0,2.549999999999998
41.75,0,2.549999999999998
42,0,2.549999999999998
42.25,0,2.549999999999998
42.5,0,2.549999999999998
42.75,0,2.549999999999998
43,0,2.549999999999998
43.25,0,2.549999999999998
43.5,0,2.549999999999998
43.75,0,2.549999999999998
44,0,2.549999999999998
44.25,0,2.549999999999998
44.5,0,2.549999999999998
44.75,0,2.549999999999998
45,0,2.549999999999998
45.25,0,2.549999999999998
45.5,0,2.549999999999998
45.75,0,2.549999999999998
46,0,2.549999999999998
46.25,0,2.549999999999998
46.5,0,2.549999999999998
46.75,0,2.549999999999998
47,0,2.549999999999998
47.25,0,2.549999999999998
47.5,0,2.549999999999998
47.75,0,2.549999999999998
48,0,2.549999999999998
48.25,0,2.549999999999998
48.5,0,2.549999999999998
48.75,0,2.549999999999998
49,0,2.549999999999998
49.25,0,2.549999999999998
49.5,0,2.549999999999998
49.75,0,2.549999999999998
50,0,2.549999999999998
50.25,0,2.549999999999998
50.5,0,2.549999999999998
50.75,0,2.549999999999998
51,0,2.549999999999998
51.25,0,2.549999999999998
51.5,0,2.549999999999998
51.75,0,2.549999999999998
52,0,2.549999999999998
52.25,0,2.549999999999998
52.5,0,2.549999999999998
52.75,0,2.549999999999998
53,0,2.549999999999998
53.25,0,2.549999999999998
53.5,0,2.549999999999998
53.75,0,2.549999999999998
54,0,2.549999999999998
54.25,0,2.549999999999998
54.5,0,2.549999999999998
54.75,0,2.549999999999998
55,0,2.549999999999998
55.25,0,2.549999999999998
55.5,0,2.549999999999998
55.75,0,2.549999999999998
56,0,2.549999999999998
56.25,0,2.549999999999998
56.5,0,2.549999999999998
56.75,0,2.549999999999998
57,0,2.549999999999998
57.25,0,2.549999999999998
57.5,0,2.549999999999998
57.75,0,2.549999999999998
58,0,2.549999999999998
58.25,0,2.549999999999998
58.5,0,2.549999999999998
58.75,0,2.549999999999998
59,0,2.549999999999998
59.25,0,2.549999999999998
59.5,0,2.549999999999998
59.75,0,2.549999999999998
60,0,2.549999999999998
60.25,0,2.549999999999998
60.5,0,2.549999999999998
60.75,0,2.549999999999998
61,0,2.549999999999998
61.25,0,2.549999999999998
61.5,0,2.549999999999998
61.75,0,2.549999999999998
62,0,2.549999999999998
62.25,0,2.549999999999998
62.5,0,2.549999999999998
62.75,0,2.549999999999998
63,0,2.549999999999998
63.25,0,2.549999999999998
63.5,0,2.549999999999998
63.75,0,2.549999999999998
64,0,2.549999999999998
64.25,0,2.549999999999998
64.5,0,2.549999999999998
64.75,0,2.549999999999998
65,0,2.549999999999998
65.25,0,2.549999999999998
65.5,0,2.549999999999998
65.75,0,2.549999999999998
66,0,2.549999999999998
66.25,0,2.549999999999998
66.5,0,2.549999999999998
66.75,0,2.549999999999998
67,0,2.549999999999998
67.25,0,2.549999999999998
67.5,0,2.549999999999998
67.75,0,2.549999999999998
68,0,2.549999999999998
68.25,0,2.549999999999998
68.5,0,2.549999999999998
68.75,0,2.549999999999998
69,0,2.549999999999998
69.25,0,2.549999999999998
69.5,0,2.549999999999998
69.75,0,2.549999999999998
70,0,2.549999999999998
70.25,0,2.549999999999998
70.5,0,2.549999999999998
70.75,0,2.549999999999998
71,0,2.549999999999998
71.25,0,2.549999999999998
71.5,0,2.549999999999998
71.75,0,2.549999999999998
72,0,2.549999999999998
72.25,0,2.549999999999998
72.5,0,2.549999999999998
72.75,0,2.549999999999998
73,0,2.549999999999998
73.25,0,2.549999999999998
73.5,0,2.549999999999998
73.75,0,2.549999999999998
74,0,2.549999999999998
74.25,0,2.549999999999998
74.5,0,2.549999999999998
74.75,0,2.549999999999998
75,0,2.549999999999998
75.25,0,2.549999999999998
75.5,0,2.549999999999998
75.75,0,2.549999999999998
76,0,2.549999999999998
76.25,0,2.549999999999998
76.5,0,2.549999999999998
76.75,0,2.549999999999998
77,0,2.549999999999998
77.25,0,2.549999999999998
77.5,0,2.549999999999998
77.75,0,2.549999999999998
78,0,2.549999999999998
78.25,0,2.549999999999998
78.5,0,2.549999999999998
78.75,0,2.549999999999998
79,0,2.549999999999998
79.25,0,2.549999999999998
79.5,0,2.549999999999998
79.75,0,2.549999999999998
80,0,2.549999999999998
80.25,0,2.549999999999998
80.5,0,2.549999999999998
80.75,0,2.549999999999998
81,0,2.549999999999998
81.25,0,2.549999999999998
81.5,0,2.549999999999998
81.75,0,2.549999999999998
82,0,2.549999999999998
82.25,0,2.549999999999998
82.5,0,2.549999999999998
82.75,0,2.549999999999998
83,0,2.549999999999998
83.25,0,2.549999999999998
83.5,0,2.549999999999998
83.75,0,2.549999999999998
84,0,2.549999999999998
84.25,0,2.549999999999998
84.5,0,2.549999999999998
84.75,0,2.549999999999998
85,0,2.549999999999998
85.25,0,2.549999999999998
85.5,0,2.549999999999998
85.75,0,2.549999999999998
86,0,2.549999999999998
86.25,0,2.549999999999998
86.5,0,2.549999999999998
86.75,0,2.549999999999998
87,0,2.549999999999998
87.25,0,2.549999999999998
87.5,0,2.549999999999998
87.75,0,2.549999999999998
88,0,2.549999999999998
88.25,0,2.549999999999998
88.5,0,2.549999999999998
88.75,0,2.549999999999998
89,0,2.549999999999998
89.25,0,2.549999999999998
89.5,0,2.549999999999998
89.75,0,2.549999999999998
90,0,2.549999999999998
90.25,0,2.549999999999998
90.5,0,2.549999999999998
90.75,0,2.549999999999998
91,0,2.549999999999998
91.25,0,2.549999999999998
91.5,0,2.549999999999998
91.75,0,2.549999999999998
92,0,2.549999999999998
92.25,0,2.549999999999998
92.5,0,2.549999999999998
92.75,0,2.549999999999998
93,0,2.549999999999998
93.25,0,2.549999999999998
