time_s,scheme,environment_temperature_c,environment_moisture_kg_kg,picard_iterations,temperature_residual,moisture_residual,temperature_linear_residual,moisture_linear_residual,surface_heat_internal_w_m2,surface_heat_robin_w_m2,surface_heat_boundary_residual_w_m2,surface_moisture_internal_kg_m2_s,surface_moisture_robin_kg_m2_s,surface_moisture_boundary_residual_kg_m2_s,surface_k_w_m_k,surface_D_m2_s,mass_step_residual,heat_step_residual_j,property_min_json,property_max_json,picard_history_json,temperature_min_k,temperature_max_k,moisture_min_kg_kg,moisture_max_kg_kg,center_heat_flux_w_m2,center_moisture_flux_kg_m2_s
0.25,bdf2,28.0022,0.019631625000000003,3,1.8875449378671865e-15,1.9559082022847206e-12,2.006572685786523e-11,2.6645352591003757e-15,-0.054095065371604904,-0.054595117229894186,0.0005000518582892813,1.9653963488591054e-06,2.0123945581623613e-06,-4.69982093032559e-08,0.4825073316903553,5.635845512491603e-09,9.87831868732769e-10,-2.6799323103638448e-05,"{""D"": 5.635845512491603e-09, ""cp"": 3412.0527881705584, ""k"": 0.4825073316903553, ""rho"": 974.4959773059779}","{""D"": 5.6416807811843056e-09, ""cp"": 3415.295774647889, ""k"": 0.48295774647887346, ""rho"": 976.400000000001}","[[4.954206543894967e-09, 0.00018811026291693005], [4.80191432193413e-13, 2.8178807261436962e-08], [1.8875449378671865e-15, 1.9559082022847206e-12]]",301.1499999999982,301.1500161953108,2.535124822702952,2.5500000000000083,0.0,0.0
0.5,bdf2,28.0044,0.01963325,3,2.45380817827431e-15,1.5482168923792275e-12,1.2960299500264227e-11,6.661338147750939e-15,-0.1081522385523307,-0.10885582747590661,0.0007035889235759013,1.9742911051659186e-06,2.0073961814469205e-06,-3.3105076281001846e-08,0.4823170626312828,5.633382139867268e-09,9.85378296317118e-10,-5.343448733651368e-05,"{""D"": 5.633382139867268e-09, ""cp"": 3410.682850945236, ""k"": 0.4823170626312828, ""rho"": 973.6964450315072}","{""D"": 5.641681827791211e-09, ""cp"": 3415.295774647891, ""k"": 0.4829577464788738, ""rho"": 976.4000000000021}","[[7.062813633697948e-09, 0.00013149362446860988], [6.825361825107602e-13, 2.0743905242774476e-08], [2.45380817827431e-15, 1.5482168923792275e-12]]",301.14999999999645,301.1500457669009,2.5288784768086505,2.550000000000017,0.0,0.0
0.75,bdf2,28.0066,0.019634875000000003,3,5.662633537842404e-16,1.3301777979744096e-12,1.7621459846850485e-12,8.881784197001252e-16,-0.16204094924245319,-0.16289893254821664,0.0008579833057634489,1.9766279793862384e-06,2.003571037807073e-06,-2.6943058420834586e-08,0.48217101013904595,5.631493341889285e-09,9.835006333360637e-10,-7.996282500746338e-05,"{""D"": 5.631493341889285e-09, ""cp"": 3409.6312730011314, ""k"": 0.48217101013904595, ""rho"": 973.0846300491316}","{""D"": 5.641683470845139e-09, ""cp"": 3415.2957746478933, ""k"": 0.482957746478874, ""rho"": 976.4000000000033}","[[8.667486996662596e-09, 0.00010683004583126148], [8.276882687812982e-13, 1.7244348345782467e-08], [5.662633537842404e-16, 1.3301777979744096e-12]]",301.14999999999645,301.15008404269804,2.5240986722588414,2.5500000000000256,0.0,0.0
1.0,bdf2,28.0088,0.0196365,3,1.1325265372285091e-15,1.188069250822387e-12,1.972466634470038e-11,2.220446049250313e-15,-0.21577959120926962,-0.21676655518092502,0.0009869639716554024,1.977083993946289e-06,2.000352879629925e-06,-2.3268885683636005e-08,0.48204783438582777,5.629902412660164e-09,9.81920923628328e-10,-0.00010640503793561499,"{""D"": 5.629902412660164e-09, ""cp"": 3408.7444075779595, ""k"": 0.48204783438582777, ""rho"": 972.5699327407881}","{""D"": 5.641685313531276e-09, ""cp"": 3415.2957746478946, ""k"": 0.48295774647887424, ""rho"": 976.4000000000044}","[[1.0014543523364496e-08, 9.221745254389013e-05], [9.4773595723739e-13, 1.509353740031556e-08], [1.1325265372285091e-15, 1.188069250822387e-12]]",301.14999999999554,301.15012933779275,2.5200775995374065,2.550000000000034,0.0,0.0
1.25,bdf2,28.011,0.019638125000000003,3,2.265052688297882e-15,1.0842742825593898e-12,6.0822458181064576e-12,1.3322676295501878e-15,-0.2693833033267309,-0.270483010271505,0.001099706944774126,1.976761253489311e-06,1.997522564650287e-06,-2.076131116097631e-08,0.48193927662093994,5.628502187639916e-09,9.805315960104333e-10,-0.0001327730489895204,"{""D"": 5.628502187639916e-09, ""cp"": 3407.9627916707677, ""k"": 0.48193927662093994, ""rho"": 972.117290344046}","{""D"": 5.64168792055096e-09, ""cp"": 3415.295774647897, ""k"": 0.48295774647887457, ""rho"": 976.4000000000054}","[[1.1197801187800699e-08, 8.228384126864269e-05], [1.0585346229978745e-12, 1.3597308203130814e-08], [2.265052688297882e-15, 1.0842742825593898e-12]]",301.14999999999645,301.15018067958914,2.516541330812859,2.5500000000000425,0.0,0.0
1.5,bdf2,28.0132,0.01963975,3,4.9076132334520035e-15,1.0055572932055716e-12,3.524291969370097e-12,2.6645352591003757e-15,-0.32286376143573214,-0.3240646966133909,0.0012009351776587351,1.9760574768992054e-06,1.9949677297846834e-06,-1.8910252885477936e-08,0.48184110220374776,5.62723768118436e-09,9.79277494378447e-10,-0.00015907488206799594,"{""D"": 5.62723768118436e-09, ""cp"": 3407.2559358669832, ""k"": 0.48184110220374776, ""rho"": 971.7087247655494}","{""D"": 5.6416903198816226e-09, ""cp"": 3415.2957746478987, ""k"": 0.4829577464788749, ""rho"": 976.4000000000069}","[[1.2265042816576616e-08, 7.496512607745936e-05], [1.1459276900110483e-12, 1.2477850212772317e-08], [4.9076132334520035e-15, 1.0055572932055716e-12]]",301.14999999999645,301.1502374121354,2.5133494122308546,2.5500000000000536,0.0,0.0
1.75,bdf2,28.0154,0.019641375000000003,3,3.5863320134437404e-15,9.425140406699927e-13,3.183231456205249e-12,1.3322676295501878e-15,-0.37623022937755696,-0.377523651143008,0.0012934217654510527,1.9751500205530377e-06,1.9926216326736964e-06,-1.7471612120658766e-08,0.48175079577833146,5.626076210201295e-09,9.78125856643526e-10,-0.00018531647934600932,"{""D"": 5.626076210201295e-09, ""cp"": 3406.605729603986, ""k"": 0.48175079577833146, ""rho"": 971.3335572277915}","{""D"": 5.641693883467381e-09, ""cp"": 3415.2957746479005, ""k"": 0.4829577464788751, ""rho"": 976.4000000000078}","[[1.3244511936209048e-08, 6.92840206531089e-05], [1.2346419842071364e-12, 1.1598955347389618e-08], [3.5863320134437404e-15, 9.425140406699927e-13]]",301.14999999999645,301.15029905395426,2.5104184158421208,2.550000000000061,0.0,0.0
2.0,bdf2,28.0176,0.019643,3,5.662628250543459e-16,8.899199460132389e-13,1.1823431123048067e-11,5.329070518200751e-15,-0.42949020070898486,-0.4308691998389236,0.0013789991299387183,1.974128816444849e-06,1.9904407890902963e-06,-1.6311972645447548e-08,0.48166671851154774,5.624996466489919e-09,9.770553375712338e-10,-0.0002115024302811803,"{""D"": 5.624996466489919e-09, ""cp"": 3406.0003732831437, ""k"": 0.48166671851154774, ""rho"": 970.9848302544474}","{""D"": 5.641697102901783e-09, ""cp"": 3415.2957746479024, ""k"": 0.48295774647887535, ""rho"": 976.4000000000087}","[[1.4154577381233074e-08, 6.470872975210715e-05], [1.3150510340512097e-12, 1.0884838303024421e-08], [5.662628250543459e-16, 8.899199460132389e-13]]",301.14999999999645,301.15036523200644,2.50769398636287,2.550000000000068,0.0,0.0
