time_s,radius_cm,cmax_kg_kg,center_kg_kg,surface_kg_kg,volume_mean_kg_kg,picard_iterations,nonlinear_residual,linear_residual,radius_rate_cm_s,mass_step_residual,robin_residual
1980.0,1.8636591591090803,2.5500000000000034,2.550000000000001,1.3956111401627707,2.4118808344688634,4,1.1480899984994717e-10,1.3642420526593924e-12,-4.984844277626182e-05,-0.00014865117883195236,-4.554279511423102e-08
2040.0,1.8607090818452952,2.5500000000000025,2.5500000000000016,1.3880744383404,2.4081223570747405,4,1.1359339963916747e-10,1.2505552149377763e-12,-4.8586314299412734e-05,-0.00014436270835178975,-4.367783881373542e-08
2100.0,1.8578318897138144,2.5500000000000025,2.5500000000000025,1.3806039143411422,2.404329286881917,4,1.0634339921638216e-10,1.0231815394945443e-12,-4.741301633211342e-05,-0.0001403605596864714,-4.220949274457681e-08
2160.0,1.8550222528840665,2.550000000000002,2.550000000000002,1.3732103574777084,2.4005070161031385,4,1.0540975527848292e-10,1.3073986337985843e-12,-4.6328548874364525e-05,-0.00013664566154979814,-4.0593112854143664e-08
2220.0,1.8522748415254775,2.5500000000000034,2.5500000000000034,1.3660833906971648,2.396659865942565,4,1.0799795098750948e-10,1.1368683772161603e-12,-4.5332911926165846e-05,-0.00013323700129063364,-3.871826349329676e-08
2280.0,1.8495843258074756,2.5500000000000025,2.5500000000000016,1.359113880032347,2.392791028741355,4,9.918680708833769e-11,1.4210854715202004e-12,-4.442610548751694e-05,-0.00013011517216449337,-3.754934993397054e-08
2340.0,1.8469453758994858,2.5500000000000016,2.5500000000000016,1.35232937064648,2.3889041015344468,4,1.0223763739623593e-10,1.3642420526593924e-12,-4.360812955841804e-05,-0.00012728416815149053,-3.5891552606432184e-08
2400.0,1.8443526619709374,2.5500000000000016,2.5500000000000016,1.3457501674634518,2.385002948266128,4,9.460229221488367e-11,1.0800249583553523e-12,-4.2878984138869334e-05,-0.0001247400568758284,-3.4816337582791004e-08
2460.0,1.8418008541912556,2.5499999999999994,2.5499999999999994,1.3393926614941716,2.3810928543593377,4,9.682434536830083e-11,1.2505552149377763e-12,-4.2238669228871055e-05,-0.0001224842812803013,-3.3300685323263994e-08
2520.0,1.839284622729869,2.5499999999999945,2.5499999999999945,1.333251871809797,2.377177358317883,4,9.004664271222425e-11,1.5347723092418164e-12,-4.1687184828422555e-05,-0.00012051101301675869,-3.236170398920996e-08
2580.0,1.8367986377562027,2.549999999999982,2.549999999999982,1.3271528451462364,2.3732619123639056,4,8.457971479191791e-11,1.1937117960769683e-12,-4.122453093752426e-05,-0.00011880087340613004,-3.164373255517808e-08
