time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,surface,radius_cm,cmax_kg_kg,volume_mean_kg_kg
60.0,2.549999999999999,2.5500000000000003,2.55,2.55,2.5499999999999994,2.5500000000000007,2.549999999999999,2.5499999999999985,2.5500000000000003,2.5500000000000007,2.5500000000000003,2.5500000000000007,2.5500000000000003,2.549999999999999,2.5500000000000003,2.5500000000000007,2.5499999999999936,2.5499999998937404,2.5499990569815334,2.5476406566462546,2.136237662438239,1.9949873268608416,2.550000000000001,2.540720385666914
120.0,2.5500000000000003,2.5499999999999994,2.5499999999999994,2.550000000000001,2.5499999999999994,2.5499999999999994,2.55,2.5499999999999976,2.550000000000001,2.5499999999999994,2.5500000000000007,2.5500000000000003,2.549999999999999,2.5499999999999985,2.549999999999999,2.549999999999993,2.5499999999737932,2.549999947381801,2.549937626948677,2.5312022310948024,2.0005437832230837,1.9900168025889966,2.550000000000002,2.533440554041616
180.0,2.5500000000000003,2.5500000000000007,2.5499999999999994,2.55,2.550000000000001,2.55,2.5499999999999994,2.549999999999998,2.5500000000000016,2.549999999999999,2.55,2.5500000000000003,2.549999999999999,2.5499999999999967,2.549999999999999,2.549999999997871,2.549999996846591,2.5499978048597254,2.5494141635456913,2.4996749968797247,1.914538138342782,1.9850896699029124,2.550000000000003,2.5270901121406886
240.0,2.5499999999999994,2.55,2.549999999999999,2.5500000000000003,2.55,2.5500000000000003,2.5500000000000003,2.5499999999999976,2.550000000000001,2.5499999999999985,2.5499999999999994,2.550000000000001,2.5499999999999985,2.5499999999999976,2.549999999999896,2.5499999998793546,2.549999924491177,2.5499778252720002,2.5474525617977077,2.455780227630132,1.8512460701316564,1.9802071715210356,2.5500000000000016,2.5213632774390833
300.0,2.549999999999999,2.5499999999999994,2.5499999999999985,2.5500000000000003,2.550000000000001,2.550000000000001,2.5500000000000007,2.549999999999999,2.5500000000000003,2.549999999999998,2.55,2.550000000000001,2.5499999999999985,2.549999999999991,2.549999999995585,2.549999997638904,2.549999263965307,2.5498906853464005,2.5433334692168077,2.4037576938388274,1.8016367759228953,1.9753705501618126,2.5500000000000016,2.5160970177104804
360.0,2.5499999999999985,2.5500000000000003,2.5499999999999994,2.55,2.5500000000000007,2.5500000000000003,2.5499999999999994,2.549999999999998,2.5500000000000007,2.549999999999998,2.5500000000000007,2.5500000000000003,2.5499999999999985,2.549999999999791,2.549999999906235,2.5499999744755524,2.5499959000719454,2.549646808358234,2.536732794324879,2.349907389623584,1.7611491046310144,1.9705810485436897,2.5500000000000016,2.511184633671199
420.0,2.549999999999999,2.55,2.5499999999999985,2.550000000000001,2.5500000000000003,2.5500000000000003,2.549999999999999,2.5499999999999985,2.549999999999999,2.549999999999998,2.5500000000000007,2.550000000000001,2.5499999999999905,2.5499999999964356,2.549999998975407,2.5499998224437355,2.5499827155089267,2.549121946525832,2.527657562876454,2.2958621706553872,1.7270029073295778,1.9658399093851133,2.550000000000002,2.5065545952185846
480.0,2.5499999999999976,2.549999999999999,2.55,2.55,2.5499999999999994,2.549999999999999,2.5499999999999994,2.5499999999999994,2.549999999999999,2.549999999999999,2.55,2.5500000000000003,2.549999999999871,2.549999999962694,2.5499999928841404,2.5499991747950084,2.5499454145338394,2.548068842411675,2.515403142600591,2.242200261957798,1.6975023761384744,1.961148375404531,2.5500000000000016,2.5021544606404644
540.0,2.549999999999997,2.5499999999999994,2.55,2.5500000000000007,2.55,2.5499999999999985,2.549999999999999,2.5499999999999985,2.5499999999999985,2.5499999999999985,2.5500000000000007,2.5499999999999954,2.549999999998681,2.5499999997318215,2.5499999644902536,2.5499971063915234,2.5498627754727337,2.5464089362929814,2.50011899042359,2.182304972398973,1.671712908654978,1.956507689320388,2.5500000000000007,2.4979448380530496
600.0,2.549999999999998,2.5499999999999994,2.5500000000000003,2.5499999999999985,2.5499999999999994,2.549999999999998,2.5499999999999994,2.5500000000000003,2.549999999999998,2.55,2.5500000000000003,2.549999999999947,2.5499999999899288,2.549999998559255,2.549999862079583,2.5499917556548963,2.5497066469453316,2.5440464219029675,2.482866502499555,2.124321852217783,1.6489644553603353,1.9519190938511328,2.5500000000000007,2.4938920034367893
